latitude,longitude,dataValue,dataTime,wellType
28.7332,77.1974,72.874,2023-09-01T00:00:00,Piezometer
28.7332,77.1974,73.076,2023-09-01T06:00:00,Piezometer
28.7332,77.1974,73.076,2023-09-01T12:00:00,Piezometer
28.7332,77.1974,72.933,2023-09-01T18:00:00,Piezometer
28.7332,77.1974,72.823,2023-09-02T00:00:00,Piezometer
28.7332,77.1974,72.874,2023-09-02T06:00:00,Piezometer
28.7332,77.1974,72.689,2023-09-02T12:00:00,Piezometer
28.7332,77.1974,72.486,2023-09-02T18:00:00,Piezometer
28.7332,77.1974,72.47,2023-09-03T00:00:00,Piezometer
28.7332,77.1974,72.579,2023-09-03T06:00:00,Piezometer
28.7332,77.1974,72.394,2023-09-03T12:00:00,Piezometer
28.7332,77.1974,72.023,2023-09-03T18:00:00,Piezometer
28.7332,77.1974,71.973,2023-09-04T00:00:00,Piezometer
28.7332,77.1974,72.242,2023-09-04T06:00:00,Piezometer
28.7332,77.1974,72.192,2023-09-04T12:00:00,Piezometer
28.7332,77.1974,71.897,2023-09-04T18:00:00,Piezometer
28.7332,77.1974,71.93,2023-09-05T00:00:00,Piezometer
28.7332,77.1974,72.175,2023-09-05T06:00:00,Piezometer
28.7332,77.1974,72.006,2023-09-05T12:00:00,Piezometer
28.7332,77.1974,71.914,2023-09-05T18:00:00,Piezometer
28.7332,77.1974,71.998,2023-09-06T00:00:00,Piezometer
28.7332,77.1974,72.225,2023-09-06T06:00:00,Piezometer
28.7332,77.1974,72.242,2023-09-06T12:00:00,Piezometer
28.7332,77.1974,72.091,2023-09-06T18:00:00,Piezometer
28.7332,77.1974,72.074,2023-09-07T00:00:00,Piezometer
28.7332,77.1974,72.267,2023-09-07T06:00:00,Piezometer
28.7332,77.1974,72.276,2023-09-07T12:00:00,Piezometer
28.7332,77.1974,3.026,2023-09-07T18:00:00,Piezometer
28.7332,77.1974,3.096,2023-09-08T00:00:00,Piezometer
28.7332,77.1974,3.096,2023-09-08T06:00:00,Piezometer
28.7332,77.1974,25.368,2023-09-08T12:00:00,Piezometer
28.7332,77.1974,25.368,2023-09-08T18:00:00,Piezometer
28.7332,77.1974,25.368,2023-09-09T00:00:00,Piezometer
28.7332,77.1974,25.368,2023-09-09T06:00:00,Piezometer
28.7332,77.1974,25.368,2023-09-09T12:00:00,Piezometer
28.7332,77.1974,25.368,2023-09-09T18:00:00,Piezometer
28.7332,77.1974,25.368,2023-09-10T00:00:00,Piezometer
28.7332,77.1974,25.368,2023-09-10T06:00:00,Piezometer
28.7332,77.1974,25.368,2023-09-10T12:00:00,Piezometer
28.7332,77.1974,25.368,2023-09-10T18:00:00,Piezometer
28.7332,77.1974,25.368,2023-09-11T00:00:00,Piezometer
28.7332,77.1974,25.368,2023-09-11T06:00:00,Piezometer
28.7332,77.1974,25.368,2023-09-11T12:00:00,Piezometer
28.7332,77.1974,25.368,2023-09-11T18:00:00,Piezometer
28.7332,77.1974,25.368,2023-09-12T00:00:00,Piezometer
28.7332,77.1974,25.368,2023-09-12T06:00:00,Piezometer
28.7332,77.1974,2.69,2023-09-12T12:00:00,Piezometer
28.7332,77.1974,2.749,2023-09-12T18:00:00,Piezometer
28.7332,77.1974,2.759,2023-09-13T00:00:00,Piezometer
28.7332,77.1974,2.677,2023-09-13T06:00:00,Piezometer
28.7332,77.1974,2.703,2023-09-13T12:00:00,Piezometer
28.7332,77.1974,2.757,2023-09-13T18:00:00,Piezometer
28.7332,77.1974,2.774,2023-09-14T00:00:00,Piezometer
28.7332,77.1974,2.731,2023-09-14T06:00:00,Piezometer
28.7332,77.1974,2.736,2023-09-14T12:00:00,Piezometer
28.7332,77.1974,2.818,2023-09-14T18:00:00,Piezometer
28.7332,77.1974,2.828,2023-09-15T00:00:00,Piezometer
28.7332,77.1974,2.782,2023-09-15T06:00:00,Piezometer
28.7332,77.1974,2.754,2023-09-15T12:00:00,Piezometer
28.7332,77.1974,2.764,2023-09-15T18:00:00,Piezometer
28.7332,77.1974,2.805,2023-09-16T00:00:00,Piezometer
28.7332,77.1974,2.78,2023-09-16T06:00:00,Piezometer
28.7332,77.1974,2.798,2023-09-16T12:00:00,Piezometer
28.7332,77.1974,2.849,2023-09-16T18:00:00,Piezometer
28.7332,77.1974,2.834,2023-09-17T00:00:00,Piezometer
28.7332,77.1974,2.739,2023-09-17T06:00:00,Piezometer
28.7332,77.1974,2.762,2023-09-17T12:00:00,Piezometer
28.7332,77.1974,2.774,2023-09-17T18:00:00,Piezometer
28.7332,77.1974,2.79,2023-09-18T00:00:00,Piezometer
28.7332,77.1974,2.713,2023-09-18T06:00:00,Piezometer
28.7332,77.1974,3.499,2023-10-11T19:42:00,Piezometer
28.7332,77.1974,3.504,2023-10-11T19:43:00,Piezometer
28.7332,77.1974,3.504,2023-10-11T19:44:00,Piezometer
28.7332,77.1974,3.504,2023-10-11T19:48:00,Piezometer
28.7332,77.1974,3.517,2023-10-12T00:00:00,Piezometer
28.7332,77.1974,3.486,2023-10-12T06:00:00,Piezometer
28.7332,77.1974,3.494,2023-10-12T12:00:00,Piezometer
28.7332,77.1974,3.527,2023-10-13T12:00:00,Piezometer
28.7332,77.1974,3.579,2023-10-13T18:00:00,Piezometer
28.7332,77.1974,3.561,2023-10-14T00:00:00,Piezometer
28.7332,77.1974,3.491,2023-10-14T06:00:00,Piezometer
28.7332,77.1974,3.514,2023-10-14T12:00:00,Piezometer
28.7332,77.1974,3.568,2023-10-14T18:00:00,Piezometer
28.7332,77.1974,3.561,2023-10-15T00:00:00,Piezometer
28.7332,77.1974,3.566,2023-10-15T06:00:00,Piezometer
28.7332,77.1974,3.576,2023-10-15T12:00:00,Piezometer
28.7332,77.1974,3.668,2023-10-15T18:00:00,Piezometer
28.7332,77.1974,3.609,2023-10-16T00:00:00,Piezometer
28.7332,77.1974,3.532,2023-10-16T06:00:00,Piezometer
28.7332,77.1974,3.609,2023-10-16T12:00:00,Piezometer
28.7332,77.1974,3.663,2023-10-16T18:00:00,Piezometer
28.7332,77.1974,3.65,2023-10-17T00:00:00,Piezometer
28.7332,77.1974,3.54,2023-10-17T06:00:00,Piezometer
28.7332,77.1974,3.537,2023-10-17T12:00:00,Piezometer
28.7332,77.1974,3.612,2023-10-17T18:00:00,Piezometer
28.7332,77.1974,3.614,2023-10-18T00:00:00,Piezometer
28.7332,77.1974,3.614,2023-10-18T06:00:00,Piezometer
28.7332,77.1974,3.614,2023-10-18T12:00:00,Piezometer
28.7332,77.1974,3.648,2023-10-18T18:00:00,Piezometer
28.7332,77.1974,3.602,2023-10-19T00:00:00,Piezometer
28.7332,77.1974,3.506,2023-10-19T06:00:00,Piezometer
28.7332,77.1974,3.514,2023-10-19T12:00:00,Piezometer
28.7332,77.1974,3.591,2023-10-19T18:00:00,Piezometer
28.7332,77.1974,3.584,2023-10-20T00:00:00,Piezometer
28.7332,77.1974,3.578,2023-10-20T06:00:00,Piezometer
28.7332,77.1974,3.599,2023-10-20T12:00:00,Piezometer
28.7332,77.1974,3.63,2023-10-21T00:00:00,Piezometer
28.7332,77.1974,3.589,2023-10-21T12:00:00,Piezometer
28.7332,77.1974,3.643,2023-10-22T00:00:00,Piezometer
28.7332,77.1974,3.632,2023-10-22T06:00:00,Piezometer
28.7332,77.1974,3.501,2023-10-23T06:00:00,Piezometer
28.7332,77.1974,3.355,2023-10-25T06:00:00,Piezometer
28.7332,77.1974,3.381,2023-10-26T00:00:00,Piezometer
28.7332,77.1974,3.347,2023-10-26T06:00:00,Piezometer
28.7332,77.1974,3.378,2023-10-26T12:00:00,Piezometer
28.7332,77.1974,3.414,2023-10-26T18:00:00,Piezometer
28.7332,77.1974,3.393,2023-10-27T00:00:00,Piezometer
28.7332,77.1974,3.378,2023-10-27T06:00:00,Piezometer
28.7332,77.1974,3.381,2023-10-27T12:00:00,Piezometer
28.7332,77.1974,3.419,2023-10-27T18:00:00,Piezometer
28.7332,77.1974,3.396,2023-10-28T00:00:00,Piezometer
28.7332,77.1974,3.378,2023-10-28T06:00:00,Piezometer
28.7332,77.1974,3.373,2023-10-28T12:00:00,Piezometer
28.7332,77.1974,3.388,2023-10-28T18:00:00,Piezometer
28.7332,77.1974,3.381,2023-10-29T00:00:00,Piezometer
28.7332,77.1974,3.342,2023-10-29T06:00:00,Piezometer
28.7332,77.1974,3.35,2023-10-29T12:00:00,Piezometer
28.7332,77.1974,3.365,2023-10-29T18:00:00,Piezometer
28.7332,77.1974,3.347,2023-10-30T00:00:00,Piezometer
28.7332,77.1974,3.327,2023-10-30T06:00:00,Piezometer
28.7332,77.1974,3.324,2023-10-30T12:00:00,Piezometer
28.7332,77.1974,3.339,2023-10-30T18:00:00,Piezometer
28.7332,77.1974,3.306,2023-10-31T00:00:00,Piezometer
28.7332,77.1974,3.275,2023-10-31T06:00:00,Piezometer
28.7332,77.1974,3.28,2023-10-31T12:00:00,Piezometer
