latitude,longitude,pressure_hPa,month
29.0,76.7,990.77454,2020-01
29.0,76.8,991.0195,2020-01
29.0,76.8,991.0342,2020-01
29.0,76.9,991.6392,2020-01
29.0,77.0,992.49896,2020-01
29.0,77.1,991.5569,2020-01
29.0,77.2,990.46875,2020-01
29.0,77.3,990.62897,2020-01
29.0,77.5,990.8176,2020-01
28.9,76.7,991.26746,2020-01
28.9,76.8,991.5629,2020-01
28.9,76.8,991.3526,2020-01
28.9,76.9,991.7458,2020-01
28.9,77.0,992.4583,2020-01
28.9,77.1,992.3509,2020-01
28.9,77.2,991.7218,2020-01
28.9,77.3,991.369,2020-01
28.9,77.5,991.0681,2020-01
28.8,76.7,991.07324,2020-01
28.8,76.8,991.315,2020-01
28.8,76.8,991.42596,2020-01
28.8,76.9,991.77435,2020-01
28.8,77.0,992.20184,2020-01
28.8,77.1,992.1147,2020-01
28.8,77.2,991.7824,2020-01
28.8,77.3,991.5425,2020-01
28.8,77.5,991.34515,2020-01
28.6,76.7,990.6485,2020-01
28.6,76.8,990.7395,2020-01
28.6,76.8,991.64795,2020-01
28.6,76.9,992.5402,2020-01
28.6,77.0,992.49084,2020-01
28.6,77.1,991.9259,2020-01
28.6,77.2,991.9056,2020-01
28.6,77.3,992.16986,2020-01
28.6,77.5,992.06915,2020-01
28.5,76.7,990.8534,2020-01
28.5,76.8,991.48773,2020-01
28.5,76.8,992.73236,2020-01
28.5,76.9,992.88043,2020-01
28.5,77.0,991.4105,2020-01
28.5,77.1,990.259,2020-01
28.5,77.2,991.3581,2020-01
28.5,77.3,992.787,2020-01
28.5,77.5,992.3511,2020-01
28.4,76.7,991.03796,2020-01
28.4,76.8,992.1761,2020-01
28.4,76.8,992.8302,2020-01
28.4,76.9,991.60095,2020-01
28.4,77.0,988.96735,2020-01
28.4,77.1,988.1199,2020-01
28.4,77.2,990.5685,2020-01
28.4,77.3,993.08374,2020-01
28.4,77.5,992.87573,2020-01
28.3,76.7,990.67084,2020-01
28.3,76.8,991.0174,2020-01
28.3,76.8,990.46924,2020-01
28.3,76.9,989.3587,2020-01
28.3,77.0,988.5382,2020-01
28.3,77.1,989.11273,2020-01
28.3,77.2,991.31366,2020-01
28.3,77.3,993.4811,2020-01
28.3,77.5,993.7426,2020-01
28.3,76.7,990.0946,2020-01
28.3,76.8,988.8977,2020-01
28.3,76.8,987.4495,2020-01
28.3,76.9,988.28064,2020-01
28.3,77.0,990.56213,2020-01
28.3,77.1,992.0522,2020-01
28.3,77.2,992.7524,2020-01
28.3,77.3,993.3263,2020-01
28.3,77.5,993.42395,2020-01
29.0,76.7,990.3363,2020-02
29.0,76.8,990.58844,2020-02
29.0,76.8,990.61334,2020-02
29.0,76.9,991.2202,2020-02
29.0,77.0,992.07776,2020-02
29.0,77.1,991.1559,2020-02
29.0,77.2,990.0848,2020-02
29.0,77.3,990.25,2020-02
29.0,77.5,990.4426,2020-02
28.9,76.7,990.8262,2020-02
28.9,76.8,991.12994,2020-02
28.9,76.8,990.9333,2020-02
28.9,76.9,991.3302,2020-02
28.9,77.0,992.04364,2020-02
28.9,77.1,991.94507,2020-02
28.9,77.2,991.3289,2020-02
28.9,77.3,990.9859,2020-02
28.9,77.5,990.693,2020-02
28.8,76.7,990.6343,2020-02
28.8,76.8,990.8885,2020-02
28.8,76.8,991.0084,2020-02
28.8,76.9,991.3632,2020-02
28.8,77.0,991.7951,2020-02
28.8,77.1,991.717,2020-02
28.8,77.2,991.3936,2020-02
28.8,77.3,991.1619,2020-02
28.8,77.5,990.97046,2020-02
28.6,76.7,990.2136,2020-02
28.6,76.8,990.3169,2020-02
28.6,76.8,991.22943,2020-02
28.6,76.9,992.1215,2020-02
28.6,77.0,992.0831,2020-02
28.6,77.1,991.5341,2020-02
28.6,77.2,991.5185,2020-02
28.6,77.3,991.7862,2020-02
28.6,77.5,991.69336,2020-02
28.5,76.7,990.4123,2020-02
