latitude,longitude,number,d2m_C,month
29.0,76.7,0,8.59,2020-01
29.0,76.8,0,8.69,2020-01
29.0,76.89999999999999,0,8.77,2020-01
29.0,76.99999999999999,0,8.86,2020-01
29.0,77.09999999999998,0,8.96,2020-01
29.0,77.19999999999997,0,9.02,2020-01
29.0,77.29999999999997,0,9.01,2020-01
29.0,77.39999999999996,0,9.04,2020-01
29.0,77.5,0,9.07,2020-01
28.9,76.7,0,8.53,2020-01
28.9,76.8,0,8.65,2020-01
28.9,76.89999999999999,0,8.73,2020-01
28.9,76.99999999999999,0,8.81,2020-01
28.9,77.09999999999998,0,8.93,2020-01
28.9,77.19999999999997,0,9.0,2020-01
28.9,77.29999999999997,0,9.03,2020-01
28.9,77.39999999999996,0,9.04,2020-01
28.9,77.5,0,9.07,2020-01
28.799999999999997,76.7,0,8.45,2020-01
28.799999999999997,76.8,0,8.58,2020-01
28.799999999999997,76.89999999999999,0,8.68,2020-01
28.799999999999997,76.99999999999999,0,8.78,2020-01
28.799999999999997,77.09999999999998,0,8.89,2020-01
28.799999999999997,77.19999999999997,0,8.96,2020-01
28.799999999999997,77.29999999999997,0,8.99,2020-01
28.799999999999997,77.39999999999996,0,9.02,2020-01
28.799999999999997,77.5,0,9.06,2020-01
28.699999999999996,76.7,0,8.42,2020-01
28.699999999999996,76.8,0,8.54,2020-01
28.699999999999996,76.89999999999999,0,8.67,2020-01
28.699999999999996,76.99999999999999,0,8.79,2020-01
28.699999999999996,77.09999999999998,0,8.94,2020-01
28.699999999999996,77.19999999999997,0,9.03,2020-01
28.699999999999996,77.29999999999997,0,8.97,2020-01
28.699999999999996,77.39999999999996,0,9.03,2020-01
28.699999999999996,77.5,0,9.09,2020-01
28.599999999999994,76.7,0,8.43,2020-01
28.599999999999994,76.8,0,8.56,2020-01
28.599999999999994,76.89999999999999,0,8.71,2020-01
28.599999999999994,76.99999999999999,0,8.79,2020-01
28.599999999999994,77.09999999999998,0,8.84,2020-01
28.599999999999994,77.19999999999997,0,8.87,2020-01
28.599999999999994,77.29999999999997,0,8.94,2020-01
28.599999999999994,77.39999999999996,0,9.05,2020-01
28.599999999999994,77.5,0,9.12,2020-01
28.499999999999993,76.7,0,8.42,2020-01
28.499999999999993,76.8,0,8.58,2020-01
28.499999999999993,76.89999999999999,0,8.71,2020-01
28.499999999999993,76.99999999999999,0,8.74,2020-01
28.499999999999993,77.09999999999998,0,8.7,2020-01
28.499999999999993,77.19999999999997,0,8.75,2020-01
28.499999999999993,77.29999999999997,0,8.92,2020-01
28.499999999999993,77.39999999999996,0,9.09,2020-01
28.499999999999993,77.5,0,9.16,2020-01
28.39999999999999,76.7,0,8.41,2020-01
28.39999999999999,76.8,0,8.54,2020-01
28.39999999999999,76.89999999999999,0,8.62,2020-01
28.39999999999999,76.99999999999999,0,8.65,2020-01
28.39999999999999,77.09999999999998,0,8.69,2020-01
28.39999999999999,77.19999999999997,0,8.8,2020-01
28.39999999999999,77.29999999999997,0,8.97,2020-01
28.39999999999999,77.39999999999996,0,9.14,2020-01
28.39999999999999,77.5,0,9.22,2020-01
28.3,76.7,0,8.41,2020-01
28.3,76.8,0,8.46,2020-01
28.3,76.89999999999999,0,8.49,2020-01
28.3,76.99999999999999,0,8.61,2020-01
28.3,77.09999999999998,0,8.78,2020-01
28.3,77.19999999999997,0,8.92,2020-01
28.3,77.29999999999997,0,9.05,2020-01
28.3,77.39999999999996,0,9.16,2020-01
28.3,77.5,0,9.24,2020-01
29.0,76.7,0,9.81,2020-02
29.0,76.8,0,9.92,2020-02
29.0,76.89999999999999,0,10.0,2020-02
29.0,76.99999999999999,0,10.1,2020-02
29.0,77.09999999999998,0,10.2,2020-02
29.0,77.19999999999997,0,10.29,2020-02
29.0,77.29999999999997,0,10.28,2020-02
29.0,77.39999999999996,0,10.29,2020-02
29.0,77.5,0,10.3,2020-02
28.9,76.7,0,9.62,2020-02
28.9,76.8,0,9.8,2020-02
28.9,76.89999999999999,0,9.89,2020-02
28.9,76.99999999999999,0,9.99,2020-02
28.9,77.09999999999998,0,10.14,2020-02
28.9,77.19999999999997,0,10.24,2020-02
28.9,77.29999999999997,0,10.28,2020-02
28.9,77.39999999999996,0,10.3,2020-02
28.9,77.5,0,10.31,2020-02
28.799999999999997,76.7,0,9.39,2020-02
28.799999999999997,76.8,0,9.6,2020-02
28.799999999999997,76.89999999999999,0,9.76,2020-02
28.799999999999997,76.99999999999999,0,9.91,2020-02
28.799999999999997,77.09999999999998,0,10.05,2020-02
28.799999999999997,77.19999999999997,0,10.15,2020-02
28.799999999999997,77.29999999999997,0,10.2,2020-02
28.799999999999997,77.39999999999996,0,10.24,2020-02
28.799999999999997,77.5,0,10.29,2020-02
28.699999999999996,76.7,0,9.22,2020-02
28.699999999999996,76.8,0,9.41,2020-02
28.699999999999996,76.89999999999999,0,9.61,2020-02
28.699999999999996,76.99999999999999,0,9.79,2020-02
28.699999999999996,77.09999999999998,0,9.97,2020-02
28.699999999999996,77.19999999999997,0,10.09,2020-02
28.699999999999996,77.29999999999997,0,10.08,2020-02
28.699999999999996,77.39999999999996,0,10.16,2020-02
28.699999999999996,77.5,0,10.25,2020-02
28.599999999999994,76.7,0,9.07,2020-02
28.599999999999994,76.8,0,9.28,2020-02
28.599999999999994,76.89999999999999,0,9.49,2020-02
28.599999999999994,76.99999999999999,0,9.64,2020-02
28.599999999999994,77.09999999999998,0,9.74,2020-02
28.599999999999994,77.19999999999997,0,9.82,2020-02
28.599999999999994,77.29999999999997,0,9.95,2020-02
28.599999999999994,77.39999999999996,0,10.1,2020-02
28.599999999999994,77.5,0,10.21,2020-02
28.499999999999993,76.7,0,8.91,2020-02
28.499999999999993,76.8,0,9.14,2020-02
28.499999999999993,76.89999999999999,0,9.34,2020-02
28.499999999999993,76.99999999999999,0,9.44,2020-02
28.499999999999993,77.09999999999998,0,9.46,2020-02
28.499999999999993,77.19999999999997,0,9.58,2020-02
28.499999999999993,77.29999999999997,0,9.83,2020-02
28.499999999999993,77.39999999999996,0,10.05,2020-02
28.499999999999993,77.5,0,10.17,2020-02
28.39999999999999,76.7,0,8.76,2020-02
28.39999999999999,76.8,0,8.97,2020-02
28.39999999999999,76.89999999999999,0,9.12,2020-02
