latitude,longitude,evap_mm,month
29.0,76.7,-0.9605042,2020-01
29.0,76.8,-0.9655064,2020-01
29.0,76.8,-0.9727452,2020-01
29.0,76.9,-0.99369335,2020-01
29.0,77.0,-0.98347586,2020-01
29.0,77.1,-1.0081875,2020-01
29.0,77.2,-0.981306,2020-01
29.0,77.3,-0.96673,2020-01
29.0,77.5,-0.9728672,2020-01
28.9,76.7,-0.93381417,2020-01
28.9,76.8,-0.95406806,2020-01
28.9,76.8,-0.9747454,2020-01
28.9,76.9,-0.9908439,2020-01
28.9,77.0,-0.98814327,2020-01
28.9,77.1,-1.004021,2020-01
28.9,77.2,-0.9897568,2020-01
28.9,77.3,-0.96359974,2020-01
28.9,77.5,-0.9912702,2020-01
28.8,76.7,-0.8706615,2020-01
28.8,76.8,-0.9184577,2020-01
28.8,76.8,-0.95223194,2020-01
28.8,76.9,-0.9666591,2020-01
28.8,77.0,-0.978733,2020-01
28.8,77.1,-0.9945518,2020-01
28.8,77.2,-0.9824401,2020-01
28.8,77.3,-0.9748385,2020-01
28.8,77.5,-0.99357337,2020-01
28.6,76.7,-0.86395305,2020-01
28.6,76.8,-0.91996616,2020-01
28.6,76.8,-0.9465504,2020-01
28.6,76.9,-0.97221935,2020-01
28.6,77.0,-1.006354,2020-01
28.6,77.1,-1.0317279,2020-01
28.6,77.2,-0.996547,2020-01
28.6,77.3,-0.9972006,2020-01
28.6,77.5,-1.0150616,2020-01
28.5,76.7,-0.89075464,2020-01
28.5,76.8,-0.9036603,2020-01
28.5,76.8,-0.94805664,2020-01
28.5,76.9,-0.9522843,2020-01
28.5,77.0,-0.97491777,2020-01
28.5,77.1,-0.99341387,2020-01
28.5,77.2,-1.0206679,2020-01
28.5,77.3,-0.99800766,2020-01
28.5,77.5,-1.0448627,2020-01
28.4,76.7,-0.8887494,2020-01
28.4,76.8,-0.92180437,2020-01
28.4,76.8,-0.95558447,2020-01
28.4,76.9,-0.95265853,2020-01
28.4,77.0,-0.9688487,2020-01
28.4,77.1,-1.0145743,2020-01
28.4,77.2,-0.9954295,2020-01
28.4,77.3,-1.0255338,2020-01
28.4,77.5,-1.0595174,2020-01
28.3,76.7,-0.90217084,2020-01
28.3,76.8,-0.95133007,2020-01
28.3,76.8,-0.9589421,2020-01
28.3,76.9,-0.94948757,2020-01
28.3,77.0,-0.97123384,2020-01
28.3,77.1,-1.0008408,2020-01
28.3,77.2,-1.0262384,2020-01
28.3,77.3,-1.0716704,2020-01
28.3,77.5,-1.1002251,2020-01
28.3,76.7,-0.90531194,2020-01
28.3,76.8,-0.9430902,2020-01
28.3,76.8,-0.9582757,2020-01
28.3,76.9,-0.9779757,2020-01
28.3,77.0,-1.0030878,2020-01
28.3,77.1,-1.0227612,2020-01
28.3,77.2,-1.0632094,2020-01
28.3,77.3,-1.0996276,2020-01
28.3,77.5,-1.1126326,2020-01
29.0,76.7,-1.5068498,2020-02
29.0,76.8,-1.5364403,2020-02
29.0,76.8,-1.5445427,2020-02
29.0,76.9,-1.566807,2020-02
29.0,77.0,-1.547798,2020-02
29.0,77.1,-1.5750641,2020-02
29.0,77.2,-1.5420567,2020-02
29.0,77.3,-1.531461,2020-02
29.0,77.5,-1.520398,2020-02
28.9,76.7,-1.4362365,2020-02
28.9,76.8,-1.4894915,2020-02
28.9,76.8,-1.5149654,2020-02
28.9,76.9,-1.5227121,2020-02
28.9,77.0,-1.5287759,2020-02
28.9,77.1,-1.5497891,2020-02
28.9,77.2,-1.5443833,2020-02
28.9,77.3,-1.5244625,2020-02
28.9,77.5,-1.5391376,2020-02
28.8,76.7,-1.3354129,2020-02
28.8,76.8,-1.4175967,2020-02
28.8,76.8,-1.4627923,2020-02
28.8,76.9,-1.485445,2020-02
28.8,77.0,-1.4949877,2020-02
28.8,77.1,-1.512591,2020-02
28.8,77.2,-1.5156186,2020-02
28.8,77.3,-1.5205704,2020-02
28.8,77.5,-1.5490212,2020-02
28.6,76.7,-1.2991288,2020-02
28.6,76.8,-1.3763479,2020-02
28.6,76.8,-1.4372749,2020-02
28.6,76.9,-1.47288,2020-02
28.6,77.0,-1.3969558,2020-02
28.6,77.1,-1.3782394,2020-02
28.6,77.2,-1.5336415,2020-02
28.6,77.3,-1.5424254,2020-02
28.6,77.5,-1.5635473,2020-02
28.5,76.7,-1.2708805,2020-02
28.5,76.8,-1.3517646,2020-02
28.5,76.8,-1.4024458,2020-02
28.5,76.9,-1.4159455,2020-02
28.5,77.0,-1.3717555,2020-02
28.5,77.1,-1.4059337,2020-02
28.5,77.2,-1.536985,2020-02
28.5,77.3,-1.5206388,2020-02
28.5,77.5,-1.5594795,2020-02
28.4,76.7,-1.2143875,2020-02
28.4,76.8,-1.3136182,2020-02
28.4,76.8,-1.3656759,2020-02
28.4,76.9,-1.3817854,2020-02
28.4,77.0,-1.3664821,2020-02
28.4,77.1,-1.3857138,2020-02
28.4,77.2,-1.476214,2020-02
28.4,77.3,-1.5067965,2020-02
28.4,77.5,-1.5496867,2020-02
28.3,76.7,-1.1737276,2020-02
28.3,76.8,-1.2854033,2020-02
28.3,76.8,-1.3382084,2020-02
28.3,76.9,-1.3507409,2020-02
28.3,77.0,-1.3679682,2020-02
28.3,77.1,-1.4130214,2020-02
28.3,77.2,-1.4801658,2020-02
28.3,77.3,-1.5538677,2020-02
28.3,77.5,-1.5815992,2020-02
28.3,76.7,-1.1355534,2020-02
28.3,76.8,-1.2395943,2020-02
28.3,76.8,-1.3076141,2020-02
28.3,76.9,-1.3440039,2020-02
28.3,77.0,-1.3821406,2020-02
28.3,77.1,-1.4317766,2020-02
28.3,77.2,-1.4927286,2020-02
28.3,77.3,-1.5438973,2020-02
28.3,77.5,-1.5692871,2020-02
29.0,76.7,-2.2236416,2020-03
29.0,76.8,-2.2715304,2020-03
29.0,76.8,-2.2913816,2020-03
29.0,76.9,-2.2693727,2020-03
29.0,77.0,-2.261861,2020-03
29.0,77.1,-2.283484,2020-03
29.0,77.2,-2.2783449,2020-03
29.0,77.3,-2.2853334,2020-03
29.0,77.5,-2.2800784,2020-03
28.9,76.7,-2.1833446,2020-03
28.9,76.8,-2.2427003,2020-03
28.9,76.8,-2.272017,2020-03
28.9,76.9,-2.2689607,2020-03
28.9,77.0,-2.280782,2020-03
28.9,77.1,-2.2772043,2020-03
28.9,77.2,-2.2981575,2020-03
28.9,77.3,-2.3147397,2020-03
28.9,77.5,-2.3317668,2020-03
28.8,76.7,-2.061505,2020-03
28.8,76.8,-2.1604257,2020-03
28.8,76.8,-2.229685,2020-03
28.8,76.9,-2.2589197,2020-03
28.8,77.0,-2.2679546,2020-03
28.8,77.1,-2.274895,2020-03
28.8,77.2,-2.292414,2020-03
28.8,77.3,-2.300832,2020-03
28.8,77.5,-2.3301342,2020-03
28.6,76.7,-2.0247254,2020-03
28.6,76.8,-2.1025615,2020-03
28.6,76.8,-2.151238,2020-03
28.6,76.9,-2.2014215,2020-03
28.6,77.0,-2.2235386,2020-03
28.6,77.1,-2.2618544,2020-03
28.6,77.2,-2.285599,2020-03
28.6,77.3,-2.295416,2020-03
28.6,77.5,-2.307558,2020-03
28.5,76.7,-1.9860917,2020-03
28.5,76.8,-2.0024645,2020-03
28.5,76.8,-2.0724976,2020-03
28.5,76.9,-2.0889845,2020-03
28.5,77.0,-2.1739154,2020-03
28.5,77.1,-2.2285926,2020-03
28.5,77.2,-2.2508,2020-03
28.5,77.3,-2.2190313,2020-03
28.5,77.5,-2.2534738,2020-03
28.4,76.7,-1.9303253,2020-03
28.4,76.8,-1.9584367,2020-03
28.4,76.8,-2.0015981,2020-03
28.4,76.9,-2.0304005,2020-03
28.4,77.0,-2.1461513,2020-03
28.4,77.1,-2.2452626,2020-03
28.4,77.2,-2.192818,2020-03
28.4,77.3,-2.16779,2020-03
28.4,77.5,-2.186474,2020-03
28.3,76.7,-1.8531674,2020-03
28.3,76.8,-1.9116869,2020-03
28.3,76.8,-1.9481014,2020-03
28.3,76.9,-2.008097,2020-03
28.3,77.0,-2.05427,2020-03
28.3,77.1,-2.1061451,2020-03
28.3,77.2,-2.1522558,2020-03
28.3,77.3,-2.1842012,2020-03
28.3,77.5,-2.2047606,2020-03
28.3,76.7,-1.7954689,2020-03
28.3,76.8,-1.833945,2020-03
28.3,76.8,-1.8698826,2020-03
28.3,76.9,-1.9360557,2020-03
28.3,77.0,-1.9984641,2020-03
28.3,77.1,-2.044334,2020-03
28.3,77.2,-2.110412,2020-03
28.3,77.3,-2.1615725,2020-03
28.3,77.5,-2.1859777,2020-03
29.0,76.7,-1.6785331,2020-04
29.0,76.8,-1.8275092,2020-04
29.0,76.8,-1.9139123,2020-04
29.0,76.9,-1.8597304,2020-04
29.0,77.0,-1.7891325,2020-04
29.0,77.1,-1.8216175,2020-04
29.0,77.2,-1.8300067,2020-04
29.0,77.3,-1.8635736,2020-04
29.0,77.5,-1.8631632,2020-04
28.9,76.7,-1.4865294,2020-04
28.9,76.8,-1.6591395,2020-04
28.9,76.8,-1.7498915,2020-04
28.9,76.9,-1.7573225,2020-04
28.9,77.0,-1.8141392,2020-04
28.9,77.1,-1.9434209,2020-04
28.9,77.2,-1.9225178,2020-04
28.9,77.3,-1.9470223,2020-04
28.9,77.5,-1.969741,2020-04
28.8,76.7,-1.4349396,2020-04
28.8,76.8,-1.5690087,2020-04
28.8,76.8,-1.6802793,2020-04
28.8,76.9,-1.7756528,2020-04
28.8,77.0,-1.815928,2020-04
28.8,77.1,-1.9382879,2020-04
28.8,77.2,-2.0021024,2020-04
28.8,77.3,-2.0134954,2020-04
28.8,77.5,-2.0078685,2020-04
28.6,76.7,-1.4727783,2020-04
28.6,76.8,-1.5487839,2020-04
28.6,76.8,-1.6223748,2020-04
28.6,76.9,-1.7206578,2020-04
28.6,77.0,-1.533334,2020-04
28.6,77.1,-1.4650593,2020-04
28.6,77.2,-2.0055997,2020-04
28.6,77.3,-1.9758052,2020-04
28.6,77.5,-1.993421,2020-04
28.5,76.7,-1.4612325,2020-04
28.5,76.8,-1.5450404,2020-04
28.5,76.8,-1.6067305,2020-04
28.5,76.9,-1.6929876,2020-04
28.5,77.0,-1.5929886,2020-04
28.5,77.1,-1.6309103,2020-04
28.5,77.2,-1.998424,2020-04
28.5,77.3,-1.8266878,2020-04
28.5,77.5,-1.8115649,2020-04
28.4,76.7,-1.3392701,2020-04
28.4,76.8,-1.4368155,2020-04
28.4,76.8,-1.5091205,2020-04
28.4,76.9,-1.5860636,2020-04
28.4,77.0,-1.5763292,2020-04
28.4,77.1,-1.5039452,2020-04
28.4,77.2,-1.700633,2020-04
28.4,77.3,-1.7350825,2020-04
28.4,77.5,-1.6531911,2020-04
28.3,76.7,-1.2202753,2020-04
28.3,76.8,-1.3183259,2020-04
28.3,76.8,-1.4325478,2020-04
28.3,76.9,-1.4937307,2020-04
28.3,77.0,-1.5348947,2020-04
28.3,77.1,-1.5423316,2020-04
28.3,77.2,-1.6031865,2020-04
28.3,77.3,-1.653527,2020-04
28.3,77.5,-1.6044942,2020-04
28.3,76.7,-1.0866469,2020-04
28.3,76.8,-1.1963127,2020-04
28.3,76.8,-1.3004043,2020-04
28.3,76.9,-1.321974,2020-04
28.3,77.0,-1.3701125,2020-04
28.3,77.1,-1.446722,2020-04
28.3,77.2,-1.4677839,2020-04
28.3,77.3,-1.4982315,2020-04
28.3,77.5,-1.5407459,2020-04
29.0,76.7,-1.2238393,2020-05
29.0,76.8,-1.2509891,2020-05
29.0,76.8,-1.2889469,2020-05
29.0,76.9,-1.3135225,2020-05
29.0,77.0,-1.33895,2020-05
29.0,77.1,-1.380787,2020-05
29.0,77.2,-1.4570937,2020-05
29.0,77.3,-1.4653522,2020-05
29.0,77.5,-1.5086432,2020-05
28.9,76.7,-1.0955101,2020-05
28.9,76.8,-1.1728504,2020-05
28.9,76.8,-1.2317057,2020-05
28.9,76.9,-1.2584659,2020-05
28.9,77.0,-1.2530084,2020-05
28.9,77.1,-1.3937516,2020-05
28.9,77.2,-1.4397111,2020-05
28.9,77.3,-1.4756597,2020-05
28.9,77.5,-1.5563477,2020-05
28.8,76.7,-1.0762025,2020-05
28.8,76.8,-1.1457878,2020-05
28.8,76.8,-1.2123741,2020-05
28.8,76.9,-1.2199298,2020-05
28.8,77.0,-1.1854696,2020-05
28.8,77.1,-1.3138397,2020-05
28.8,77.2,-1.4262722,2020-05
28.8,77.3,-1.5131955,2020-05
28.8,77.5,-1.581478,2020-05
28.6,76.7,-1.0612516,2020-05
28.6,76.8,-1.1304998,2020-05
28.6,76.8,-1.2129761,2020-05
28.6,76.9,-1.2194086,2020-05
28.6,77.0,-1.0874007,2020-05
28.6,77.1,-1.1044152,2020-05
28.6,77.2,-1.4516113,2020-05
28.6,77.3,-1.463845,2020-05
28.6,77.5,-1.4986565,2020-05
28.5,76.7,-1.0561037,2020-05
28.5,76.8,-1.1987619,2020-05
28.5,76.8,-1.2810997,2020-05
28.5,76.9,-1.2913802,2020-05
28.5,77.0,-1.1365906,2020-05
28.5,77.1,-1.1234779,2020-05
28.5,77.2,-1.4774448,2020-05
28.5,77.3,-1.2662318,2020-05
28.5,77.5,-1.2415967,2020-05
28.4,76.7,-0.9754841,2020-05
28.4,76.8,-1.1232538,2020-05
28.4,76.8,-1.2298675,2020-05
28.4,76.9,-1.2371262,2020-05
28.4,77.0,-1.0782561,2020-05
28.4,77.1,-0.99359334,2020-05
28.4,77.2,-1.1702021,2020-05
28.4,77.3,-1.1958145,2020-05
28.4,77.5,-1.0816867,2020-05
28.3,76.7,-0.8245296,2020-05
28.3,76.8,-0.9515084,2020-05
28.3,76.8,-1.0726067,2020-05
28.3,76.9,-1.0577301,2020-05
28.3,77.0,-1.0511805,2020-05
28.3,77.1,-1.0623543,2020-05
28.3,77.2,-1.1299949,2020-05
28.3,77.3,-1.1888407,2020-05
28.3,77.5,-1.1191438,2020-05
28.3,76.7,-0.70414585,2020-05
28.3,76.8,-0.79707515,2020-05
28.3,76.8,-0.8848311,2020-05
28.3,76.9,-0.9153652,2020-05
28.3,77.0,-0.97560257,2020-05
28.3,77.1,-1.0672964,2020-05
28.3,77.2,-1.0880406,2020-05
28.3,77.3,-1.1181343,2020-05
