month,latitude,longitude,dataValue,wellDepth
2021-01,28.4,77.1,54.0,65.0
2021-08,28.4,77.1,53.6,65.0
2021-11,28.4,77.1,53.88,65.0
2022-01,28.4,77.1,65.0,65.0
2022-05,28.4,77.1,53.34,65.0
2022-08,28.4,77.1,52.68,65.0
2022-11,28.4,77.1,51.69,65.0
2020-01,28.4,77.2,22.53,35.0
2020-08,28.4,77.2,9.3,35.0
2020-11,28.4,77.2,21.01,35.0
2021-01,28.4,77.2,21.83,35.0
2021-08,28.4,77.2,11.45,35.0
2021-11,28.4,77.2,14.44,35.0
2022-01,28.4,77.2,19.27,35.0
2022-05,28.4,77.2,23.08,35.0
2022-08,28.4,77.2,14.81,35.0
2022-11,28.4,77.2,16.0,35.0
2022-05,28.4,77.2,10.95,100.0
2020-01,28.4,77.2,54.07,86.5
2020-08,28.4,77.2,48.67,86.5
2020-11,28.4,77.2,49.25,86.5
2021-01,28.4,77.2,50.78,86.5
2021-08,28.4,77.2,54.61,86.5
2021-11,28.4,77.2,40.55,86.5
2022-01,28.4,77.2,43.89,86.5
2022-05,28.4,77.2,48.64,86.5
2022-08,28.4,77.2,48.24,86.5
2022-11,28.4,77.2,39.17,86.5
2023-05,28.4,77.2,-47.08,
2023-06,28.4,77.2,-47.61,
2023-07,28.4,77.2,-43.52,
2023-08,28.4,77.2,-34.71,
2023-09,28.4,77.2,-36.3,
2023-10,28.4,77.2,-38.1,
2023-11,28.4,77.2,-40.29,
2023-12,28.4,77.2,-41.56,
2020-01,28.4,77.1,47.78,100.0
2020-08,28.4,77.1,41.64,100.0
2020-11,28.4,77.1,42.76,100.0
2021-01,28.4,77.1,41.99,100.0
2021-08,28.4,77.1,40.76,100.0
2022-01,28.4,77.1,41.13,100.0
2022-05,28.4,77.1,41.37,100.0
2022-08,28.4,77.1,40.96,100.0
2022-11,28.4,77.1,10.07,100.0
2020-01,28.4,77.1,63.13,82.0
2020-08,28.4,77.1,63.97,82.0
2020-11,28.4,77.1,65.16,82.0
2021-01,28.4,77.1,65.47,82.0
2021-08,28.4,77.1,65.48,82.0
2021-11,28.4,77.1,65.67,82.0
2022-01,28.4,77.1,65.54,82.0
2022-05,28.4,77.1,66.01,82.0
2022-08,28.4,77.1,66.51,82.0
2022-11,28.4,77.1,66.75,82.0
2022-12,28.4,77.1,-66.86,
2023-01,28.4,77.1,-66.83,
2023-02,28.4,77.1,-66.77,
2023-03,28.4,77.1,-66.89,
2023-04,28.4,77.1,-66.94,
2023-05,28.4,77.1,-67.09,
2023-06,28.4,77.1,-67.22,
2023-07,28.4,77.1,-67.23,
2023-08,28.4,77.1,-67.29,
2023-09,28.4,77.1,-67.4,
2023-10,28.4,77.1,-67.5,
2023-11,28.4,77.1,-67.54,
2023-12,28.4,77.1,-67.5,
2020-01,28.4,77.1,61.99,90.0
2020-08,28.4,77.1,62.66,90.0
2020-11,28.4,77.1,63.75,90.0
2021-01,28.4,77.1,63.88,90.0
2021-08,28.4,77.1,63.61,90.0
2022-01,28.4,77.1,63.88,90.0
2022-05,28.4,77.1,64.37,90.0
2022-08,28.4,77.1,62.07,90.0
2022-11,28.4,77.1,64.74,90.0
2020-01,28.5,77.2,52.12,150.0
2020-08,28.5,77.2,52.05,150.0
2020-11,28.5,77.2,53.01,150.0
2021-08,28.5,77.2,51.7,150.0
2021-11,28.5,77.2,47.84,150.0
2022-01,28.5,77.2,47.56,150.0
2022-05,28.5,77.2,49.48,150.0
2022-08,28.5,77.2,48.59,150.0
2022-11,28.5,77.2,44.7,150.0
2020-01,28.5,77.1,19.91,55.0
2020-08,28.5,77.1,17.41,55.0
2020-11,28.5,77.1,19.25,55.0
