month,latitude,longitude,dataValue,wellDepth
2021-01,28.4089,77.1894,54,65
2021-08,28.4089,77.1894,53.6,65
2021-11,28.4089,77.1894,53.88,65
2022-01,28.4089,77.1894,65,65
2022-05,28.4089,77.1894,53.34,65
2022-08,28.4089,77.1894,52.68,65
2022-11,28.4089,77.1894,51.69,65
2020-01,28.42,77.2078,22.53,35
2020-08,28.42,77.2078,9.3,35
2020-11,28.42,77.2078,21.01,35
2021-01,28.42,77.2078,21.83,35
2021-08,28.42,77.2078,11.45,35
2021-11,28.42,77.2078,14.44,35
2022-01,28.42,77.2078,19.27,35
2022-05,28.42,77.2078,23.08,35
2022-08,28.42,77.2078,14.81,35
2022-11,28.42,77.2078,16,35
2022-05,28.4256,77.2125,10.95,100
2020-01,28.4278,77.2083,54.07,86.5
2020-08,28.4278,77.2083,48.67,86.5
2020-11,28.4278,77.2083,49.25,86.5
2021-01,28.4278,77.2083,50.78,86.5
2021-08,28.4278,77.2083,54.61,86.5
2021-11,28.4278,77.2083,40.55,86.5
2022-01,28.4278,77.2083,43.89,86.5
2022-05,28.4278,77.2083,48.64,86.5
2022-08,28.4278,77.2083,48.24,86.5
2022-11,28.4278,77.2083,39.17,86.5
2023-05,28.4278,77.2083,-47.08,
2023-06,28.4278,77.2083,-47.61,
2023-07,28.4278,77.2083,-43.52,
2023-08,28.4278,77.2083,-34.71,
2023-09,28.4278,77.2083,-36.3,
2023-10,28.4278,77.2083,-38.1,
2023-11,28.4278,77.2083,-40.29,
2023-12,28.4278,77.2083,-41.56,
2020-01,28.4681,77.15,47.78,100
2020-08,28.4681,77.15,41.64,100
2020-11,28.4681,77.15,42.76,100
2021-01,28.4681,77.15,41.99,100
2021-08,28.4681,77.15,40.76,100
2022-01,28.4681,77.15,41.13,100
2022-05,28.4681,77.15,41.37,100
2022-08,28.4681,77.15,40.96,100
2022-11,28.4681,77.15,10.07,100
2020-01,28.4769,77.1561,63.13,82
2020-08,28.4769,77.1561,63.97,82
2020-11,28.4769,77.1561,65.16,82
2021-01,28.4769,77.1561,65.47,82
2021-08,28.4769,77.1561,65.48,82
2021-11,28.4769,77.1561,65.67,82
2022-01,28.4769,77.1561,65.54,82
2022-05,28.4769,77.1561,66.01,82
2022-08,28.4769,77.1561,66.51,82
2022-11,28.4769,77.1561,66.75,82
2022-12,28.4769,77.1561,-66.86,
2023-01,28.4769,77.1561,-66.83,
2023-02,28.4769,77.1561,-66.77,
2023-03,28.4769,77.1561,-66.89,
2023-04,28.4769,77.1561,-66.94,
2023-05,28.4769,77.1561,-67.09,
2023-06,28.4769,77.1561,-67.22,
2023-07,28.4769,77.1561,-67.23,
2023-08,28.4769,77.1561,-67.29,
2023-09,28.4769,77.1561,-67.4,
2023-10,28.4769,77.1561,-67.5,
2023-11,28.4769,77.1561,-67.54,
2023-12,28.4769,77.1561,-67.5,
2020-01,28.4894,77.1458,61.99,90
2020-08,28.4894,77.1458,62.66,90
2020-11,28.4894,77.1458,63.75,90
2021-01,28.4894,77.1458,63.88,90
2021-08,28.4894,77.1458,63.61,90
2022-01,28.4894,77.1458,63.88,90
2022-05,28.4894,77.1458,64.37,90
2022-08,28.4894,77.1458,62.07,90
2022-11,28.4894,77.1458,64.74,90
2020-01,28.4958,77.2667,52.12,150
2020-08,28.4958,77.2667,52.05,150
2020-11,28.4958,77.2667,53.01,150
2021-08,28.4958,77.2667,51.7,150
2021-11,28.4958,77.2667,47.84,150
2022-01,28.4958,77.2667,47.56,150
2022-05,28.4958,77.2667,49.48,150
2022-08,28.4958,77.2667,48.59,150
2022-11,28.4958,77.2667,44.7,150
2020-01,28.5061,77.1822,19.91,55
2020-08,28.5061,77.1822,17.41,55
2020-11,28.5061,77.1822,19.25,55
2021-01,28.5061,77.1822,16.19,55
2021-08,28.5061,77.1822,15.2,55
2021-11,28.5061,77.1822,13.6,55
2022-01,28.5061,77.1822,12.54,55
2022-05,28.5061,77.1822,15.42,55
2022-08,28.5061,77.1822,13.21,55
2022-11,28.5061,77.1822,13.65,55
2020-01,28.5089,77.3406,7.59,75
2020-08,28.5089,77.3406,7.83,75
2020-11,28.5089,77.3406,9.47,75
2021-01,28.5089,77.3406,8.2,75
2021-08,28.5089,77.3406,8.57,75
2021-11,28.5089,77.3406,6.76,75
2022-01,28.5089,77.3406,8.4,75
2022-05,28.5089,77.3406,9.32,75
2022-08,28.5089,77.3406,8.6,75
2022-11,28.5089,77.3406,8,75
2020-01,28.5108,76.8989,1.08,80
2021-08,28.5108,76.8989,0.82,80
2021-11,28.5108,76.8989,0.85,80
2020-01,28.5181,76.9042,2.14,28
2020-08,28.5181,76.9042,1.01,28
2020-11,28.5181,76.9042,2.37,28
2021-01,28.5181,76.9042,1.37,28
2021-08,28.5181,76.9042,0.6,28
2021-11,28.5181,76.9042,0.88,28
2022-01,28.5181,76.9042,1.45,28
2022-05,28.5181,76.9042,1.68,28
2022-08,28.5181,76.9042,0.79,28
2022-11,28.5181,76.9042,0.84,28
2020-01,28.5244,76.9533,9.78,100
2020-08,28.5244,76.9533,9.48,100
2020-11,28.5244,76.9533,10.1,100
2021-01,28.5244,76.9533,8.56,100
2021-08,28.5244,76.9533,8.1,100
2022-01,28.5244,76.9533,7.38,100
2022-05,28.5244,76.9533,7.43,100
2022-08,28.5244,76.9533,7.36,100
2022-11,28.5244,76.9533,6.33,100
2023-09,28.5244,76.9533,9.49,50
2023-10,28.5244,76.9533,6.85,50
2023-11,28.5244,76.9533,6.79,50
2023-12,28.5244,76.9533,6.9,50
2020-01,28.5247,76.9533,9.53,40
2020-08,28.5247,76.9533,9.55,40
2020-11,28.5247,76.9533,9.92,40
2021-01,28.5247,76.9533,8.46,40
2021-08,28.5247,76.9533,7.93,40
2022-01,28.5247,76.9533,7.42,40
2022-05,28.5247,76.9533,7.28,40
2022-08,28.5247,76.9533,7.22,40
2022-11,28.5247,76.9533,6.12,40
2023-09,28.5247,76.9533,6.75,40
2023-10,28.5247,76.9533,6.68,40
2023-11,28.5247,76.9533,6.6,40
2023-12,28.5247,76.9533,6.7,40
2023-05,28.5271,77.2231,-38.37,
2023-06,28.5271,77.2231,-38.16,
2023-07,28.5271,77.2231,-38.05,
2023-08,28.5271,77.2231,-37.78,
2023-09,28.5271,77.2231,-37.75,
2023-10,28.5271,77.2231,-37.56,
2023-11,28.5271,77.2231,-37.23,
2023-12,28.5271,77.2231,-36.97,
2020-01,28.5278,77.2267,49.27,94.5
2020-08,28.5278,77.2267,46.74,94.5
2021-01,28.5278,77.2267,44.82,94.5
2021-08,28.5278,77.2267,43.05,94.5
2021-11,28.5278,77.2267,42.3,94.5
2022-01,28.5278,77.2267,41.1,94.5
2022-05,28.5278,77.2267,39.53,94.5
2022-11,28.5278,77.2267,39.04,94.5
2022-05,28.5289,77.3253,22.34,75
2020-01,28.5342,76.9086,3.56,80
2020-08,28.5342,76.9086,1.63,80
2020-11,28.5342,76.9086,2.87,80
2021-01,28.5342,76.9086,3.38,80
2023-09,28.5342,76.9086,1.19,38
2023-10,28.5342,76.9086,1.44,38
2023-11,28.5342,76.9086,1.74,38
2023-12,28.5342,76.9086,2.16,38
2020-01,28.5358,77.1569,22.65,100
2020-08,28.5358,77.1569,17.27,100
2020-11,28.5358,77.1569,16.4,100
2021-01,28.5358,77.1569,16.95,100
2021-08,28.5358,77.1569,12.83,100
2021-11,28.5358,77.1569,7.94,100
2022-01,28.5358,77.1569,10.1,100
2022-05,28.5358,77.1569,12.4,100
2022-08,28.5358,77.1569,13.41,100
2022-11,28.5358,77.1569,13.08,100
2020-01,28.5361,76.9047,1.7,15
2020-08,28.5361,76.9047,0.7,15
2020-11,28.5361,76.9047,2.47,15
2021-01,28.5361,76.9047,1.53,15
2021-08,28.5361,76.9047,0.9,15
2021-11,28.5361,76.9047,2.4,15
2022-01,28.5361,76.9047,1.85,15
2022-05,28.5361,76.9047,1.27,15
2022-08,28.5361,76.9047,0.97,15
2022-11,28.5361,76.9047,2.58,15
2020-11,28.5394,77.1806,4.58,20
2021-01,28.5394,77.1806,3.85,20
2021-11,28.5394,77.1806,0.51,20
2022-01,28.5394,77.1806,1.9,20
2022-05,28.5394,77.1806,3.29,20
2022-08,28.5394,77.1806,2.97,20
2022-11,28.5394,77.1806,2.66,20
2020-01,28.5431,76.9653,14.17,100
2020-08,28.5431,76.9653,13.26,100
2020-11,28.5431,76.9653,13.84,100
2021-01,28.5431,76.9653,13.68,100
2021-08,28.5431,76.9653,12.36,100
2021-11,28.5431,76.9653,11.31,100
2022-01,28.5431,76.9653,11.06,100
2022-05,28.5431,76.9653,10.8,100
2022-08,28.5431,76.9653,10.69,100
2022-11,28.5431,76.9653,10.62,100
2022-12,28.5431,76.9653,-10.74,
2023-01,28.5431,76.9653,-10.72,
2023-02,28.5431,76.9653,-10.69,
2023-03,28.5431,76.9653,-10.69,
2023-04,28.5431,76.9653,-10.64,
2023-05,28.5431,76.9653,-10.63,
2023-06,28.5431,76.9653,-10.61,
2023-07,28.5431,76.9653,-10.41,
2023-08,28.5431,76.9653,-10.22,
2023-09,28.5431,76.9653,-10.03,
2023-10,28.5431,76.9653,-9.94,
2023-11,28.5431,76.9653,-9.92,
2023-12,28.5431,76.9653,-9.93,
2020-01,28.5453,77.2022,31.12,104
2020-08,28.5453,77.2022,30.04,104
2020-11,28.5453,77.2022,30.75,104
2021-01,28.5453,77.2022,28.89,104
2021-08,28.5453,77.2022,27.68,104
2021-11,28.5453,77.2022,26.72,104
2022-01,28.5453,77.2022,25.49,104
2022-05,28.5453,77.2022,24.7,104
2022-08,28.5453,77.2022,24.5,104
2022-11,28.5453,77.2022,23.95,104
2020-01,28.5464,77.0094,13.57,75
2020-08,28.5464,77.0094,12.37,75
2021-01,28.5464,77.0094,11.91,75
2022-01,28.5464,77.0094,8.35,75
2022-05,28.5464,77.0094,9.2,75
2022-08,28.5464,77.0094,7.37,75
2022-11,28.5464,77.0094,7.52,75
2022-12,28.5464,77.0094,-8.03,
2023-01,28.5464,77.0094,-8.3,
2023-02,28.5464,77.0094,-8.63,
2023-03,28.5464,77.0094,-8.93,
2023-04,28.5464,77.0094,-9.11,
2023-05,28.5464,77.0094,-9.36,
2023-06,28.5464,77.0094,-9.4,
2023-07,28.5464,77.0094,-8.79,
2023-08,28.5464,77.0094,-8.34,
2023-09,28.5464,77.0094,-8.43,
2023-10,28.5464,77.0094,-8.75,
2023-11,28.5464,77.0094,-8.8,
2023-12,28.5464,77.0094,-8.57,
2023-04,28.5472,77.2048,-23.33,
2023-05,28.5472,77.2048,-23.29,
2023-06,28.5472,77.2048,-23.03,
2023-07,28.5472,77.2048,-22.93,
2023-08,28.5472,77.2048,-22.68,
2023-09,28.5472,77.2048,-22.39,
2023-10,28.5472,77.2048,-22.11,
2023-11,28.5472,77.2048,-21.7,
2023-12,28.5472,77.2048,-21.52,
2022-11,28.566,77.0505,-13.89,
2022-12,28.566,77.0505,-14.28,
2023-01,28.566,77.0505,-14.86,
2023-02,28.566,77.0505,-15.12,
2023-03,28.566,77.0505,-15.84,
2023-04,28.566,77.0505,-17.26,
2023-05,28.566,77.0505,-18.15,
2023-06,28.566,77.0505,-19.04,
2023-07,28.566,77.0505,-18.94,
2023-08,28.566,77.0505,-18.01,
2023-09,28.566,77.0505,-18.14,
2023-10,28.566,77.0505,-18.8,
2023-11,28.566,77.0505,-19.28,
2023-12,28.566,77.0505,-19.59,
2020-11,28.5667,77.0539,18.4,105
2021-01,28.5667,77.0539,17.43,105
2021-11,28.5667,77.0539,13.3,105
2022-01,28.5667,77.0539,14.21,105
2022-05,28.5667,77.0539,15.3,105
2022-08,28.5667,77.0539,14.39,105
2022-11,28.5667,77.0539,13.14,105
2020-01,28.5767,76.9142,14.05,59
2020-08,28.5767,76.9142,14.2,59
2023-09,28.5767,76.9142,11.84,58
2023-10,28.5767,76.9142,9.27,58
2023-11,28.5767,76.9142,9.49,58
