latitude,longitude,month,dataValue,wellDepth
28.4,77.1,2021-01,54.0,65.0
28.4,77.1,2021-08,53.6,65.0
28.4,77.1,2021-11,53.88,65.0
28.4,77.1,2022-01,65.0,65.0
28.4,77.1,2022-05,53.34,65.0
28.4,77.1,2022-08,52.68,65.0
28.4,77.1,2022-11,51.69,65.0
28.4,77.2,2020-01,22.53,35.0
28.4,77.2,2020-08,9.3,35.0
28.4,77.2,2020-11,21.01,35.0
28.4,77.2,2021-01,21.83,35.0
28.4,77.2,2021-08,11.45,35.0
28.4,77.2,2021-11,14.44,35.0
28.4,77.2,2022-01,19.27,35.0
28.4,77.2,2022-05,23.08,35.0
28.4,77.2,2022-08,14.81,35.0
28.4,77.2,2022-11,16.0,35.0
28.4,77.2,2022-05,10.95,100.0
28.4,77.2,2020-01,54.07,86.5
28.4,77.2,2020-08,48.67,86.5
28.4,77.2,2020-11,49.25,86.5
28.4,77.2,2021-01,50.78,86.5
28.4,77.2,2021-08,54.61,86.5
28.4,77.2,2021-11,40.55,86.5
28.4,77.2,2022-01,43.89,86.5
28.4,77.2,2022-05,48.64,86.5
28.4,77.2,2022-08,48.24,86.5
28.4,77.2,2022-11,39.17,86.5
28.4,77.2,2023-05,-47.08,24.38
28.4,77.2,2023-06,-47.61,24.68
28.4,77.2,2023-07,-43.52,25.6
28.4,77.2,2023-08,-34.71,26.62
28.4,77.2,2023-09,-36.3,27.53
28.4,77.2,2023-10,-38.1,28.43
28.4,77.2,2023-11,-40.29,29.43
28.4,77.2,2023-12,-41.56,30.43
28.4,77.1,2020-01,47.78,100.0
28.4,77.1,2020-08,41.64,100.0
28.4,77.1,2020-11,42.76,100.0
28.4,77.1,2021-01,41.99,100.0
28.4,77.1,2021-08,40.76,100.0
28.4,77.1,2022-01,41.13,100.0
28.4,77.1,2022-05,41.37,100.0
28.4,77.1,2022-08,40.96,100.0
28.4,77.1,2022-11,10.07,100.0
28.4,77.1,2020-01,63.13,82.0
28.4,77.1,2020-08,63.97,82.0
28.4,77.1,2020-11,65.16,82.0
28.4,77.1,2021-01,65.47,82.0
28.4,77.1,2021-08,65.48,82.0
28.4,77.1,2021-11,65.67,82.0
28.4,77.1,2022-01,65.54,82.0
28.4,77.1,2022-05,66.01,82.0
28.4,77.1,2022-08,66.51,82.0
28.4,77.1,2022-11,66.75,82.0
28.4,77.1,2022-12,-66.86,46.31
28.4,77.1,2023-01,-66.83,23.79
28.4,77.1,2023-02,-66.77,24.61
28.4,77.1,2023-03,-66.89,25.73
28.4,77.1,2023-04,-66.94,26.64
28.4,77.1,2023-05,-67.09,27.64
28.4,77.1,2023-06,-67.22,28.56
28.4,77.1,2023-07,-67.23,29.58
28.4,77.1,2023-08,-67.29,30.55
28.4,77.1,2023-09,-67.4,31.45
28.4,77.1,2023-10,-67.5,32.46
28.4,77.1,2023-11,-67.54,33.37
28.4,77.1,2023-12,-67.5,34.38
28.4,77.1,2020-01,61.99,90.0
28.4,77.1,2020-08,62.66,90.0
28.4,77.1,2020-11,63.75,90.0
28.4,77.1,2021-01,63.88,90.0
28.4,77.1,2021-08,63.61,90.0
28.4,77.1,2022-01,63.88,90.0
28.4,77.1,2022-05,64.37,90.0
28.4,77.1,2022-08,62.07,90.0
28.4,77.1,2022-11,64.74,90.0
28.4,77.2,2020-01,52.12,150.0
28.4,77.2,2020-08,52.05,150.0
28.4,77.2,2020-11,53.01,150.0
28.4,77.2,2021-08,51.7,150.0
28.4,77.2,2021-11,47.84,150.0
28.4,77.2,2022-01,47.56,150.0
28.4,77.2,2022-05,49.48,150.0
28.4,77.2,2022-08,48.59,150.0
28.4,77.2,2022-11,44.7,150.0
28.5,77.1,2020-01,19.91,55.0
28.5,77.1,2020-08,17.41,55.0
28.5,77.1,2020-11,19.25,55.0
28.5,77.1,2021-01,16.19,55.0
28.5,77.1,2021-08,15.2,55.0
28.5,77.1,2021-11,13.6,55.0
28.5,77.1,2022-01,12.54,55.0
28.5,77.1,2022-05,15.42,55.0
28.5,77.1,2022-08,13.21,55.0
28.5,77.1,2022-11,13.65,55.0
28.5,77.3,2020-01,7.59,75.0
28.5,77.3,2020-08,7.83,75.0
28.5,77.3,2020-11,9.47,75.0
28.5,77.3,2021-01,8.2,75.0
28.5,77.3,2021-08,8.57,75.0
28.5,77.3,2021-11,6.76,75.0
28.5,77.3,2022-01,8.4,75.0
28.5,77.3,2022-05,9.32,75.0
