latitude,longitude,dataValue,dataTime,wellDepth
28.7332,77.1974,72.874,2023-09-01 00:00:00,46.0
28.7332,77.1974,73.076,2023-09-01 06:00:00,46.0
28.7332,77.1974,73.076,2023-09-01 12:00:00,46.0
28.7332,77.1974,72.933,2023-09-01 18:00:00,46.0
28.7332,77.1974,72.823,2023-09-02 00:00:00,46.0
28.7332,77.1974,72.874,2023-09-02 06:00:00,46.0
28.7332,77.1974,72.689,2023-09-02 12:00:00,46.0
28.7332,77.1974,72.486,2023-09-02 18:00:00,46.0
28.7332,77.1974,72.47,2023-09-03 00:00:00,46.0
28.7332,77.1974,72.579,2023-09-03 06:00:00,46.0
28.7332,77.1974,72.394,2023-09-03 12:00:00,46.0
28.7332,77.1974,72.023,2023-09-03 18:00:00,46.0
28.7332,77.1974,71.973,2023-09-04 00:00:00,46.0
28.7332,77.1974,72.242,2023-09-04 06:00:00,46.0
28.7332,77.1974,72.192,2023-09-04 12:00:00,46.0
28.7332,77.1974,71.897,2023-09-04 18:00:00,46.0
28.7332,77.1974,71.93,2023-09-05 00:00:00,46.0
28.7332,77.1974,72.175,2023-09-05 06:00:00,46.0
28.7332,77.1974,72.006,2023-09-05 12:00:00,46.0
28.7332,77.1974,71.914,2023-09-05 18:00:00,46.0
28.7332,77.1974,71.998,2023-09-06 00:00:00,46.0
28.7332,77.1974,72.225,2023-09-06 06:00:00,46.0
28.7332,77.1974,72.242,2023-09-06 12:00:00,46.0
28.7332,77.1974,72.091,2023-09-06 18:00:00,46.0
28.7332,77.1974,72.074,2023-09-07 00:00:00,46.0
28.7332,77.1974,72.267,2023-09-07 06:00:00,46.0
28.7332,77.1974,72.276,2023-09-07 12:00:00,46.0
28.7332,77.1974,3.026,2023-09-07 18:00:00,46.0
28.7332,77.1974,3.096,2023-09-08 00:00:00,46.0
28.7332,77.1974,3.096,2023-09-08 06:00:00,46.0
28.7332,77.1974,25.368,2023-09-08 12:00:00,46.0
28.7332,77.1974,25.368,2023-09-08 18:00:00,46.0
28.7332,77.1974,25.368,2023-09-09 00:00:00,46.0
28.7332,77.1974,25.368,2023-09-09 06:00:00,46.0
28.7332,77.1974,25.368,2023-09-09 12:00:00,46.0
28.7332,77.1974,25.368,2023-09-09 18:00:00,46.0
28.7332,77.1974,25.368,2023-09-10 00:00:00,46.0
28.7332,77.1974,25.368,2023-09-10 06:00:00,46.0
28.7332,77.1974,25.368,2023-09-10 12:00:00,46.0
28.7332,77.1974,25.368,2023-09-10 18:00:00,46.0
28.7332,77.1974,25.368,2023-09-11 00:00:00,46.0
28.7332,77.1974,25.368,2023-09-11 06:00:00,46.0
28.7332,77.1974,25.368,2023-09-11 12:00:00,46.0
28.7332,77.1974,25.368,2023-09-11 18:00:00,46.0
28.7332,77.1974,25.368,2023-09-12 00:00:00,46.0
28.7332,77.1974,25.368,2023-09-12 06:00:00,46.0
28.7332,77.1974,2.69,2023-09-12 12:00:00,46.0
28.7332,77.1974,2.749,2023-09-12 18:00:00,46.0
28.7332,77.1974,2.759,2023-09-13 00:00:00,46.0
28.7332,77.1974,2.677,2023-09-13 06:00:00,46.0
28.7332,77.1974,2.703,2023-09-13 12:00:00,46.0
28.7332,77.1974,2.757,2023-09-13 18:00:00,46.0
28.7332,77.1974,2.774,2023-09-14 00:00:00,46.0
28.7332,77.1974,2.731,2023-09-14 06:00:00,46.0
28.7332,77.1974,2.736,2023-09-14 12:00:00,46.0
28.7332,77.1974,2.818,2023-09-14 18:00:00,46.0
28.7332,77.1974,2.828,2023-09-15 00:00:00,46.0
28.7332,77.1974,2.782,2023-09-15 06:00:00,46.0
28.7332,77.1974,2.754,2023-09-15 12:00:00,46.0
28.7332,77.1974,2.764,2023-09-15 18:00:00,46.0
28.7332,77.1974,2.805,2023-09-16 00:00:00,46.0
28.7332,77.1974,2.78,2023-09-16 06:00:00,46.0
28.7332,77.1974,2.798,2023-09-16 12:00:00,46.0
28.7332,77.1974,2.849,2023-09-16 18:00:00,46.0
28.7332,77.1974,2.834,2023-09-17 00:00:00,46.0
28.7332,77.1974,2.739,2023-09-17 06:00:00,46.0
28.7332,77.1974,2.762,2023-09-17 12:00:00,46.0
28.7332,77.1974,2.774,2023-09-17 18:00:00,46.0
28.7332,77.1974,2.79,2023-09-18 00:00:00,46.0
28.7332,77.1974,2.713,2023-09-18 06:00:00,46.0
28.7332,77.1974,3.499,2023-10-11 19:42:00,46.0
28.7332,77.1974,3.504,2023-10-11 19:43:00,46.0
28.7332,77.1974,3.504,2023-10-11 19:44:00,46.0
28.7332,77.1974,3.504,2023-10-11 19:48:00,46.0
28.7332,77.1974,3.517,2023-10-12 00:00:00,46.0
28.7332,77.1974,3.486,2023-10-12 06:00:00,46.0
28.7332,77.1974,3.494,2023-10-12 12:00:00,46.0
28.7332,77.1974,3.527,2023-10-13 12:00:00,46.0
28.7332,77.1974,3.579,2023-10-13 18:00:00,46.0
28.7332,77.1974,3.561,2023-10-14 00:00:00,46.0
28.7332,77.1974,3.491,2023-10-14 06:00:00,46.0
28.7332,77.1974,3.514,2023-10-14 12:00:00,46.0
28.7332,77.1974,3.568,2023-10-14 18:00:00,46.0
28.7332,77.1974,3.561,2023-10-15 00:00:00,46.0
28.7332,77.1974,3.566,2023-10-15 06:00:00,46.0
28.7332,77.1974,3.576,2023-10-15 12:00:00,46.0
28.7332,77.1974,3.668,2023-10-15 18:00:00,46.0
28.7332,77.1974,3.609,2023-10-16 00:00:00,46.0
28.7332,77.1974,3.532,2023-10-16 06:00:00,46.0
28.7332,77.1974,3.609,2023-10-16 12:00:00,46.0
28.7332,77.1974,3.663,2023-10-16 18:00:00,46.0
28.7332,77.1974,3.65,2023-10-17 00:00:00,46.0
28.7332,77.1974,3.54,2023-10-17 06:00:00,46.0
28.7332,77.1974,3.537,2023-10-17 12:00:00,46.0
28.7332,77.1974,3.612,2023-10-17 18:00:00,46.0
28.7332,77.1974,3.614,2023-10-18 00:00:00,46.0
28.7332,77.1974,3.614,2023-10-18 06:00:00,46.0
28.7332,77.1974,3.614,2023-10-18 12:00:00,46.0
28.7332,77.1974,3.648,2023-10-18 18:00:00,46.0
28.7332,77.1974,3.602,2023-10-19 00:00:00,46.0
28.7332,77.1974,3.506,2023-10-19 06:00:00,46.0
28.7332,77.1974,3.514,2023-10-19 12:00:00,46.0
