latitude,longitude,number,tp_mm,month,dataValue,wellDepth
28.8,77.0,0,0.0,2020-01,1.71,100.0
28.8,77.0,0,0.0,2020-01,2.8,8.6
28.8,77.0,0,0.0,2020-01,2.36,50.0
28.8,77.0,0,0.0,2020-01,23.65,47.0
28.8,77.1,0,0.0,2020-01,12.24,80.0
28.8,77.1,0,0.0,2020-01,21.3,45.0
28.8,77.2,0,0.0,2020-01,9.54,200.0
28.8,77.2,0,0.0,2020-01,7.94,65.0
28.8,77.2,0,0.0,2020-01,9.49,101.0
28.7,76.9,0,0.0,2020-01,7.95,32.0
28.7,76.9,0,0.0,2020-01,12.17,21.2
28.7,77.0,0,0.0,2020-01,0.8,10.0
28.7,77.0,0,0.0,2020-01,1.16,27.0
28.7,77.0,0,0.0,2020-01,3.26,54.0
28.7,77.0,0,0.0,2020-01,6.1,250.75
28.7,77.1,0,0.0,2020-01,12.7,100.0
28.7,77.1,0,0.0,2020-01,5.91,80.0
28.7,77.1,0,0.0,2020-01,2.33,100.0
28.7,77.1,0,0.0,2020-01,7.04,75.0
28.7,77.1,0,0.0,2020-01,9.25,100.0
28.7,77.2,0,0.0,2020-01,7.04,25.0
28.7,77.2,0,0.0,2020-01,1.38,50.0
28.7,77.2,0,0.0,2020-01,1.72,100.0
28.7,77.2,0,0.0,2020-01,4.56,45.0
28.5,76.9,0,0.0,2020-01,1.08,80.0
28.5,76.9,0,0.0,2020-01,2.14,28.0
28.5,76.9,0,0.0,2020-01,9.78,100.0
28.5,76.9,0,0.0,2020-01,9.53,40.0
28.5,76.9,0,0.0,2020-01,3.56,80.0
28.5,76.9,0,0.0,2020-01,1.7,15.0
28.5,76.9,0,0.0,2020-01,14.17,100.0
28.5,76.9,0,0.0,2020-01,14.05,59.0
28.5,77.0,0,0.0,2020-01,13.57,75.0
28.5,77.0,0,0.0,2020-01,21.67,125.0
28.5,77.1,0,0.0,2020-01,19.91,55.0
28.5,77.1,0,0.0,2020-01,22.65,100.0
28.5,77.1,0,0.0,2020-01,46.42,65.0
28.5,77.1,0,0.0,2020-01,31.8,43.0
28.5,77.2,0,0.0,2020-01,52.12,150.0
28.5,77.2,0,0.0,2020-01,49.27,94.5
28.5,77.2,0,0.0,2020-01,31.12,104.0
28.5,77.2,0,0.0,2020-01,3.41,12.0
28.5,77.3,0,0.0,2020-01,7.59,75.0
28.5,77.3,0,0.0,2020-01,10.72,45.0
28.4,77.1,0,0.0,2020-01,47.78,100.0
28.4,77.1,0,0.0,2020-01,63.13,82.0
28.4,77.1,0,0.0,2020-01,61.99,90.0
28.4,77.2,0,0.0,2020-01,22.53,35.0
28.4,77.2,0,0.0,2020-01,54.07,86.5
28.8,77.1,0,0.0,2020-05,8.69,
28.8,77.1,0,0.0,2020-05,22.35,
28.8,77.0,0,0.0,2020-08,0.66,100.0
28.8,77.0,0,0.0,2020-08,3.35,8.6
28.8,77.0,0,0.0,2020-08,0.41,50.0
28.8,77.0,0,0.0,2020-08,24.99,47.0
28.8,77.1,0,0.0,2020-08,9.01,
28.8,77.1,0,0.0,2020-08,9.09,
28.8,77.1,0,0.0,2020-08,13.02,80.0
28.8,77.1,0,0.0,2020-08,21.57,45.0
28.8,77.1,0,0.0,2020-08,22.71,
28.8,77.2,0,0.0,2020-08,9.86,200.0
28.8,77.2,0,0.0,2020-08,7.96,65.0
28.8,77.2,0,0.0,2020-08,8.27,85.0
28.8,77.2,0,0.0,2020-08,11.7,101.0
28.7,76.9,0,0.0,2020-08,6.59,32.0
28.7,76.9,0,0.0,2020-08,12.27,21.2
28.7,77.0,0,0.0,2020-08,0.82,10.0
28.7,77.0,0,0.0,2020-08,1.07,27.0
28.7,77.0,0,0.0,2020-08,1.73,54.0
28.7,77.0,0,0.0,2020-08,6.0,250.75
28.7,77.1,0,0.0,2020-08,12.83,100.0
28.7,77.1,0,0.0,2020-08,5.37,80.0
28.7,77.1,0,0.0,2020-08,0.49,100.0
28.7,77.1,0,0.0,2020-08,6.59,75.0
28.7,77.2,0,0.0,2020-08,7.47,25.0
28.7,77.2,0,0.0,2020-08,0.49,50.0
28.7,77.2,0,0.0,2020-08,8.64,45.0
28.5,76.9,0,0.0,2020-08,1.01,28.0
28.5,76.9,0,0.0,2020-08,9.48,100.0
28.5,76.9,0,0.0,2020-08,9.55,40.0
28.5,76.9,0,0.0,2020-08,1.63,80.0
28.5,76.9,0,0.0,2020-08,0.7,15.0
28.5,76.9,0,0.0,2020-08,13.26,100.0
28.5,76.9,0,0.0,2020-08,14.2,59.0
28.5,77.0,0,0.0,2020-08,12.37,75.0
28.5,77.0,0,0.0,2020-08,21.33,125.0
28.5,77.1,0,0.0,2020-08,17.41,55.0
28.5,77.1,0,0.0,2020-08,17.27,100.0
28.5,77.1,0,0.0,2020-08,47.48,65.0
28.5,77.1,0,0.0,2020-08,31.88,43.0
28.5,77.2,0,0.0,2020-08,52.05,150.0
28.5,77.2,0,0.0,2020-08,46.74,94.5
28.5,77.2,0,0.0,2020-08,30.04,104.0
28.5,77.2,0,0.0,2020-08,2.96,12.0
28.5,77.3,0,0.0,2020-08,7.83,75.0
28.5,77.3,0,0.0,2020-08,10.16,45.0
28.4,77.1,0,0.0,2020-08,41.64,100.0
28.4,77.1,0,0.0,2020-08,63.97,82.0
28.4,77.1,0,0.0,2020-08,62.66,90.0
28.4,77.2,0,0.0,2020-08,9.3,35.0
28.4,77.2,0,0.0,2020-08,48.67,86.5
28.8,77.0,0,0.0,2020-11,3.09,100.0
28.8,77.0,0,0.0,2020-11,3.74,8.6
28.8,77.0,0,0.0,2020-11,25.11,47.0
28.8,77.1,0,0.0,2020-11,13.04,80.0
28.8,77.2,0,0.0,2020-11,10.28,200.0
28.8,77.2,0,0.0,2020-11,8.97,65.0
28.8,77.2,0,0.0,2020-11,9.76,85.0
28.8,77.2,0,0.0,2020-11,12.7,101.0
28.7,76.9,0,0.0,2020-11,6.97,32.0
28.7,76.9,0,0.0,2020-11,14.48,21.2
28.7,77.0,0,0.0,2020-11,2.11,10.0
28.7,77.0,0,0.0,2020-11,1.61,27.0
28.7,77.0,0,0.0,2020-11,3.97,54.0
28.7,77.0,0,0.0,2020-11,6.84,250.75
28.7,77.1,0,0.0,2020-11,13.58,100.0
28.7,77.1,0,0.0,2020-11,6.19,80.0
28.7,77.1,0,0.0,2020-11,2.95,100.0
28.7,77.1,0,0.0,2020-11,7.82,75.0
28.7,77.2,0,0.0,2020-11,10.58,25.0
28.7,77.2,0,0.0,2020-11,3.06,50.0
28.7,77.2,0,0.0,2020-11,9.86,45.0
28.5,76.9,0,0.0,2020-11,2.37,28.0
28.5,76.9,0,0.0,2020-11,10.1,100.0
28.5,76.9,0,0.0,2020-11,9.92,40.0
28.5,76.9,0,0.0,2020-11,2.87,80.0
28.5,76.9,0,0.0,2020-11,2.47,15.0
28.5,76.9,0,0.0,2020-11,13.84,100.0
28.5,77.0,0,0.0,2020-11,18.4,105.0
28.5,77.0,0,0.0,2020-11,22.08,125.0
28.5,77.1,0,0.0,2020-11,19.25,55.0
28.5,77.1,0,0.0,2020-11,16.4,100.0
28.5,77.1,0,0.0,2020-11,4.58,20.0
28.5,77.1,0,0.0,2020-11,48.0,65.0
28.5,77.1,0,0.0,2020-11,32.9,43.0
28.5,77.2,0,0.0,2020-11,53.01,150.0
28.5,77.2,0,0.0,2020-11,30.75,104.0
28.5,77.2,0,0.0,2020-11,4.24,12.0
28.5,77.3,0,0.0,2020-11,9.47,75.0
28.5,77.3,0,0.0,2020-11,11.0,45.0
28.4,77.1,0,0.0,2020-11,42.76,100.0
28.4,77.1,0,0.0,2020-11,65.16,82.0
28.4,77.1,0,0.0,2020-11,63.75,90.0
28.4,77.2,0,0.0,2020-11,21.01,35.0
28.4,77.2,0,0.0,2020-11,49.25,86.5
28.8,77.0,0,0.0,2021-01,1.96,100.0
28.8,77.0,0,0.0,2021-01,1.92,50.0
28.8,77.0,0,0.0,2021-01,23.54,47.0
28.8,77.1,0,0.0,2021-01,11.42,80.0
28.8,77.2,0,0.0,2021-01,8.97,200.0
28.8,77.2,0,0.0,2021-01,7.59,65.0
28.8,77.2,0,0.0,2021-01,8.05,85.0
28.8,77.2,0,0.0,2021-01,11.52,101.0
28.7,76.9,0,0.0,2021-01,6.89,32.0
28.7,76.9,0,0.0,2021-01,11.98,21.2
28.7,77.0,0,0.0,2021-01,0.57,10.0
28.7,77.0,0,0.0,2021-01,1.07,27.0
28.7,77.0,0,0.0,2021-01,2.99,54.0
