latitude,longitude,number_x,tp_mm,month,dataValue,wellDepth,number_y,tmean_C
28.8,77.0,0,0.0,2020-01,1.71,100.0,0,12.806938
28.8,77.0,0,0.0,2020-01,2.8,8.6,0,12.806938
28.8,77.0,0,0.0,2020-01,2.36,50.0,0,12.806938
28.8,77.0,0,0.0,2020-01,23.65,47.0,0,12.806938
28.8,77.1,0,0.0,2020-01,12.24,80.0,0,12.8308115
28.8,77.1,0,0.0,2020-01,21.3,45.0,0,12.8308115
28.8,77.2,0,0.0,2020-01,9.54,200.0,0,12.864816
28.8,77.2,0,0.0,2020-01,7.94,65.0,0,12.864816
28.8,77.2,0,0.0,2020-01,9.49,101.0,0,12.864816
28.5,76.9,0,0.0,2020-01,1.08,80.0,0,12.995922
28.5,76.9,0,0.0,2020-01,2.14,28.0,0,12.995922
28.5,76.9,0,0.0,2020-01,9.78,100.0,0,12.995922
28.5,76.9,0,0.0,2020-01,9.53,40.0,0,12.995922
28.5,76.9,0,0.0,2020-01,3.56,80.0,0,12.995922
28.5,76.9,0,0.0,2020-01,1.7,15.0,0,12.995922
28.5,76.9,0,0.0,2020-01,14.17,100.0,0,12.995922
28.5,76.9,0,0.0,2020-01,14.05,59.0,0,12.995922
28.5,77.0,0,0.0,2020-01,13.57,75.0,0,12.941975
28.5,77.0,0,0.0,2020-01,21.67,125.0,0,12.941975
28.5,77.1,0,0.0,2020-01,19.91,55.0,0,12.966299
28.5,77.1,0,0.0,2020-01,22.65,100.0,0,12.966299
28.5,77.1,0,0.0,2020-01,46.42,65.0,0,12.966299
28.5,77.1,0,0.0,2020-01,31.8,43.0,0,12.966299
28.5,77.2,0,0.0,2020-01,52.12,150.0,0,13.014212
28.5,77.2,0,0.0,2020-01,49.27,94.5,0,13.014212
28.5,77.2,0,0.0,2020-01,31.12,104.0,0,13.014212
28.5,77.2,0,0.0,2020-01,3.41,12.0,0,13.014212
28.5,77.3,0,0.0,2020-01,7.59,75.0,0,13.047307
28.5,77.3,0,0.0,2020-01,10.72,45.0,0,13.047307
28.4,77.1,0,0.0,2020-01,47.78,100.0,0,12.916069
28.4,77.1,0,0.0,2020-01,63.13,82.0,0,12.916069
28.4,77.1,0,0.0,2020-01,61.99,90.0,0,12.916069
28.4,77.2,0,0.0,2020-01,22.53,35.0,0,13.034721
