,latitude,longitude,tp_mm,month,dataValue,wellDepth,tmean_C
0,28.8,77.0,0.0,2020-01,1.71,100.0,12.806938
1,28.8,77.0,0.0,2020-01,2.8,8.6,12.806938
2,28.8,77.0,0.0,2020-01,2.36,50.0,12.806938
3,28.8,77.0,0.0,2020-01,23.65,47.0,12.806938
4,28.8,77.1,0.0,2020-01,12.24,80.0,12.8308115
5,28.8,77.1,0.0,2020-01,21.3,45.0,12.8308115
6,28.8,77.2,0.0,2020-01,9.54,200.0,12.864816
7,28.8,77.2,0.0,2020-01,7.94,65.0,12.864816
8,28.8,77.2,0.0,2020-01,9.49,101.0,12.864816
9,28.5,76.9,0.0,2020-01,1.08,80.0,12.995922
10,28.5,76.9,0.0,2020-01,2.14,28.0,12.995922
11,28.5,76.9,0.0,2020-01,9.78,100.0,12.995922
12,28.5,76.9,0.0,2020-01,9.53,40.0,12.995922
13,28.5,76.9,0.0,2020-01,3.56,80.0,12.995922
14,28.5,76.9,0.0,2020-01,1.7,15.0,12.995922
15,28.5,76.9,0.0,2020-01,14.17,100.0,12.995922
16,28.5,76.9,0.0,2020-01,14.05,59.0,12.995922
17,28.5,77.0,0.0,2020-01,13.57,75.0,12.941975
18,28.5,77.0,0.0,2020-01,21.67,125.0,12.941975
19,28.5,77.1,0.0,2020-01,19.91,55.0,12.966299
20,28.5,77.1,0.0,2020-01,22.65,100.0,12.966299
21,28.5,77.1,0.0,2020-01,46.42,65.0,12.966299
22,28.5,77.1,0.0,2020-01,31.8,43.0,12.966299
23,28.5,77.2,0.0,2020-01,52.12,150.0,13.014212
24,28.5,77.2,0.0,2020-01,49.27,94.5,13.014212
25,28.5,77.2,0.0,2020-01,31.12,104.0,13.014212
26,28.5,77.2,0.0,2020-01,3.41,12.0,13.014212
27,28.5,77.3,0.0,2020-01,7.59,75.0,13.047307
28,28.5,77.3,0.0,2020-01,10.72,45.0,13.047307
29,28.4,77.1,0.0,2020-01,47.78,100.0,12.916069
30,28.4,77.1,0.0,2020-01,63.13,82.0,12.916069
31,28.4,77.1,0.0,2020-01,61.99,90.0,12.916069
32,28.4,77.2,0.0,2020-01,22.53,35.0,13.034721
33,28.4,77.2,0.0,2020-01,54.07,86.5,13.034721
34,28.8,77.1,0.0,2020-05,8.69,,30.38642
35,28.8,77.1,0.0,2020-05,22.35,,30.38642
36,28.8,77.0,0.0,2020-08,0.66,100.0,28.928104
37,28.8,77.0,0.0,2020-08,3.35,8.6,28.928104
38,28.8,77.0,0.0,2020-08,0.41,50.0,28.928104
39,28.8,77.0,0.0,2020-08,24.99,47.0,28.928104
40,28.8,77.1,0.0,2020-08,9.01,,28.836103
41,28.8,77.1,0.0,2020-08,9.09,,28.836103
42,28.8,77.1,0.0,2020-08,13.02,80.0,28.836103
43,28.8,77.1,0.0,2020-08,21.57,45.0,28.836103
44,28.8,77.1,0.0,2020-08,22.71,,28.836103
45,28.8,77.2,0.0,2020-08,9.86,200.0,28.726389
46,28.8,77.2,0.0,2020-08,7.96,65.0,28.726389
47,28.8,77.2,0.0,2020-08,8.27,85.0,28.726389
48,28.8,77.2,0.0,2020-08,11.7,101.0,28.726389
49,28.5,76.9,0.0,2020-08,1.01,28.0,29.11467
50,28.5,76.9,0.0,2020-08,9.48,100.0,29.11467
51,28.5,76.9,0.0,2020-08,9.55,40.0,29.11467
52,28.5,76.9,0.0,2020-08,1.63,80.0,29.11467
53,28.5,76.9,0.0,2020-08,0.7,15.0,29.11467
54,28.5,76.9,0.0,2020-08,13.26,100.0,29.11467
55,28.5,76.9,0.0,2020-08,14.2,59.0,29.11467
56,28.5,77.0,0.0,2020-08,12.37,75.0,28.912338
57,28.5,77.0,0.0,2020-08,21.33,125.0,28.912338
58,28.5,77.1,0.0,2020-08,17.41,55.0,28.774742
59,28.5,77.1,0.0,2020-08,17.27,100.0,28.774742
60,28.5,77.1,0.0,2020-08,47.48,65.0,28.774742
61,28.5,77.1,0.0,2020-08,31.88,43.0,28.774742
62,28.5,77.2,0.0,2020-08,52.05,150.0,28.743917
63,28.5,77.2,0.0,2020-08,46.74,94.5,28.743917
64,28.5,77.2,0.0,2020-08,30.04,104.0,28.743917
65,28.5,77.2,0.0,2020-08,2.96,12.0,28.743917
66,28.5,77.3,0.0,2020-08,7.83,75.0,28.709053
67,28.5,77.3,0.0,2020-08,10.16,45.0,28.709053
68,28.4,77.1,0.0,2020-08,41.64,100.0,28.69048
69,28.4,77.1,0.0,2020-08,63.97,82.0,28.69048
70,28.4,77.1,0.0,2020-08,62.66,90.0,28.69048
71,28.4,77.2,0.0,2020-08,9.3,35.0,28.7268
72,28.4,77.2,0.0,2020-08,48.67,86.5,28.7268
73,28.8,77.0,0.0,2020-11,3.09,100.0,18.614126
74,28.8,77.0,0.0,2020-11,3.74,8.6,18.614126
75,28.8,77.0,0.0,2020-11,25.11,47.0,18.614126
76,28.8,77.1,0.0,2020-11,13.04,80.0,18.54206
77,28.8,77.2,0.0,2020-11,10.28,200.0,18.45833
78,28.8,77.2,0.0,2020-11,8.97,65.0,18.45833
79,28.8,77.2,0.0,2020-11,9.76,85.0,18.45833
80,28.8,77.2,0.0,2020-11,12.7,101.0,18.45833
81,28.5,76.9,0.0,2020-11,2.37,28.0,19.191603
82,28.5,76.9,0.0,2020-11,10.1,100.0,19.191603
83,28.5,76.9,0.0,2020-11,9.92,40.0,19.191603
84,28.5,76.9,0.0,2020-11,2.87,80.0,19.191603
85,28.5,76.9,0.0,2020-11,2.47,15.0,19.191603
86,28.5,76.9,0.0,2020-11,13.84,100.0,19.191603
87,28.5,77.0,0.0,2020-11,18.4,105.0,19.09624
88,28.5,77.0,0.0,2020-11,22.08,125.0,19.09624
89,28.5,77.1,0.0,2020-11,19.25,55.0,19.058445
90,28.5,77.1,0.0,2020-11,16.4,100.0,19.058445
91,28.5,77.1,0.0,2020-11,4.58,20.0,19.058445
92,28.5,77.1,0.0,2020-11,48.0,65.0,19.058445
93,28.5,77.1,0.0,2020-11,32.9,43.0,19.058445
94,28.5,77.2,0.0,2020-11,53.01,150.0,18.975176
95,28.5,77.2,0.0,2020-11,30.75,104.0,18.975176
96,28.5,77.2,0.0,2020-11,4.24,12.0,18.975176
97,28.5,77.3,0.0,2020-11,9.47,75.0,18.85111
98,28.5,77.3,0.0,2020-11,11.0,45.0,18.85111
99,28.4,77.1,0.0,2020-11,42.76,100.0,19.154623
100,28.4,77.1,0.0,2020-11,65.16,82.0,19.154623
101,28.4,77.1,0.0,2020-11,63.75,90.0,19.154623
102,28.4,77.2,0.0,2020-11,21.01,35.0,19.13992
103,28.4,77.2,0.0,2020-11,49.25,86.5,19.13992
104,28.8,77.0,0.0,2021-01,1.96,100.0,13.433441
105,28.8,77.0,0.0,2021-01,1.92,50.0,13.433441
106,28.8,77.0,0.0,2021-01,23.54,47.0,13.433441
107,28.8,77.1,0.0,2021-01,11.42,80.0,13.440136
108,28.8,77.2,0.0,2021-01,8.97,200.0,13.467385
109,28.8,77.2,0.0,2021-01,7.59,65.0,13.467385
110,28.8,77.2,0.0,2021-01,8.05,85.0,13.467385
111,28.8,77.2,0.0,2021-01,11.52,101.0,13.467385
112,28.5,76.9,0.0,2021-01,1.37,28.0,13.713296
113,28.5,76.9,0.0,2021-01,8.56,100.0,13.713296
114,28.5,76.9,0.0,2021-01,8.46,40.0,13.713296
115,28.5,76.9,0.0,2021-01,3.38,80.0,13.713296
116,28.5,76.9,0.0,2021-01,1.53,15.0,13.713296
117,28.5,76.9,0.0,2021-01,13.68,100.0,13.713296
118,28.5,77.0,0.0,2021-01,11.91,75.0,13.698771
119,28.5,77.0,0.0,2021-01,17.43,105.0,13.698771
120,28.5,77.0,0.0,2021-01,20.97,125.0,13.698771
