Unnamed: 0,latitude,longitude,tp_mm,month,dataValue,wellDepth,tmean_C,d2m_C,evap_mm,soil_type
6,28.8,77.2,0.0,2020-01,9.54,200.0,12.864816,8.99,-0.9824401,2.0
7,28.8,77.2,0.0,2020-01,7.94,65.0,12.864816,8.99,-0.9824401,2.0
8,28.8,77.2,0.0,2020-01,9.49,101.0,12.864816,8.99,-0.9824401,2.0
9,28.5,76.9,0.0,2020-01,1.08,80.0,12.995922,8.79,-0.9522843,3.0
10,28.5,76.9,0.0,2020-01,2.14,28.0,12.995922,8.79,-0.9522843,3.0
11,28.5,76.9,0.0,2020-01,9.78,100.0,12.995922,8.79,-0.9522843,3.0
12,28.5,76.9,0.0,2020-01,9.53,40.0,12.995922,8.79,-0.9522843,3.0
13,28.5,76.9,0.0,2020-01,3.56,80.0,12.995922,8.79,-0.9522843,3.0
14,28.5,76.9,0.0,2020-01,1.7,15.0,12.995922,8.79,-0.9522843,3.0
15,28.5,76.9,0.0,2020-01,14.17,100.0,12.995922,8.79,-0.9522843,3.0
16,28.5,76.9,0.0,2020-01,14.05,59.0,12.995922,8.79,-0.9522843,3.0
23,28.5,77.2,0.0,2020-01,52.12,150.0,13.014212,8.94,-1.0206679,2.0
24,28.5,77.2,0.0,2020-01,49.27,94.5,13.014212,8.94,-1.0206679,2.0
25,28.5,77.2,0.0,2020-01,31.12,104.0,13.014212,8.94,-1.0206679,2.0
26,28.5,77.2,0.0,2020-01,3.41,12.0,13.014212,8.94,-1.0206679,2.0
45,28.8,77.2,0.0,2020-08,9.86,200.0,28.726389,25.32,-2.260561,2.0
46,28.8,77.2,0.0,2020-08,7.96,65.0,28.726389,25.32,-2.260561,2.0
47,28.8,77.2,0.0,2020-08,8.27,85.0,28.726389,25.32,-2.260561,2.0
48,28.8,77.2,0.0,2020-08,11.7,101.0,28.726389,25.32,-2.260561,2.0
49,28.5,76.9,0.0,2020-08,1.01,28.0,29.11467,25.2,-2.106685,3.0
50,28.5,76.9,0.0,2020-08,9.48,100.0,29.11467,25.2,-2.106685,3.0
51,28.5,76.9,0.0,2020-08,9.55,40.0,29.11467,25.2,-2.106685,3.0
52,28.5,76.9,0.0,2020-08,1.63,80.0,29.11467,25.2,-2.106685,3.0
53,28.5,76.9,0.0,2020-08,0.7,15.0,29.11467,25.2,-2.106685,3.0
54,28.5,76.9,0.0,2020-08,13.26,100.0,29.11467,25.2,-2.106685,3.0
55,28.5,76.9,0.0,2020-08,14.2,59.0,29.11467,25.2,-2.106685,3.0
62,28.5,77.2,0.0,2020-08,52.05,150.0,28.743917,25.26,-2.3282719,2.0
63,28.5,77.2,0.0,2020-08,46.74,94.5,28.743917,25.26,-2.3282719,2.0
64,28.5,77.2,0.0,2020-08,30.04,104.0,28.743917,25.26,-2.3282719,2.0
65,28.5,77.2,0.0,2020-08,2.96,12.0,28.743917,25.26,-2.3282719,2.0
77,28.8,77.2,0.0,2020-11,10.28,200.0,18.45833,10.37,-0.54773057,2.0
78,28.8,77.2,0.0,2020-11,8.97,65.0,18.45833,10.37,-0.54773057,2.0
79,28.8,77.2,0.0,2020-11,9.76,85.0,18.45833,10.37,-0.54773057,2.0
80,28.8,77.2,0.0,2020-11,12.7,101.0,18.45833,10.37,-0.54773057,2.0
81,28.5,76.9,0.0,2020-11,2.37,28.0,19.191603,9.37,-0.48749763,3.0
82,28.5,76.9,0.0,2020-11,10.1,100.0,19.191603,9.37,-0.48749763,3.0
83,28.5,76.9,0.0,2020-11,9.92,40.0,19.191603,9.37,-0.48749763,3.0
84,28.5,76.9,0.0,2020-11,2.87,80.0,19.191603,9.37,-0.48749763,3.0
85,28.5,76.9,0.0,2020-11,2.47,15.0,19.191603,9.37,-0.48749763,3.0
86,28.5,76.9,0.0,2020-11,13.84,100.0,19.191603,9.37,-0.48749763,3.0
94,28.5,77.2,0.0,2020-11,53.01,150.0,18.975176,9.69,-0.6819546,2.0
95,28.5,77.2,0.0,2020-11,30.75,104.0,18.975176,9.69,-0.6819546,2.0
96,28.5,77.2,0.0,2020-11,4.24,12.0,18.975176,9.69,-0.6819546,2.0
108,28.8,77.2,0.0,2021-01,8.97,200.0,13.467385,9.13,-0.73733085,2.0
109,28.8,77.2,0.0,2021-01,7.59,65.0,13.467385,9.13,-0.73733085,2.0
110,28.8,77.2,0.0,2021-01,8.05,85.0,13.467385,9.13,-0.73733085,2.0
111,28.8,77.2,0.0,2021-01,11.52,101.0,13.467385,9.13,-0.73733085,2.0
112,28.5,76.9,0.0,2021-01,1.37,28.0,13.713296,8.75,-0.7089955,3.0
113,28.5,76.9,0.0,2021-01,8.56,100.0,13.713296,8.75,-0.7089955,3.0
114,28.5,76.9,0.0,2021-01,8.46,40.0,13.713296,8.75,-0.7089955,3.0
115,28.5,76.9,0.0,2021-01,3.38,80.0,13.713296,8.75,-0.7089955,3.0
116,28.5,76.9,0.0,2021-01,1.53,15.0,13.713296,8.75,-0.7089955,3.0
117,28.5,76.9,0.0,2021-01,13.68,100.0,13.713296,8.75,-0.7089955,3.0
127,28.5,77.2,0.0,2021-01,44.82,94.5,13.763745,8.88,-0.73371303,2.0
128,28.5,77.2,0.0,2021-01,28.89,104.0,13.763745,8.88,-0.73371303,2.0
129,28.5,77.2,0.0,2021-01,3.92,12.0,13.763745,8.88,-0.73371303,2.0
144,28.8,77.2,0.0,2021-08,7.58,65.0,29.110924,24.45,-3.0008483,2.0
145,28.8,77.2,0.0,2021-08,7.72,85.0,29.110924,24.45,-3.0008483,2.0
146,28.8,77.2,0.0,2021-08,11.7,101.0,29.110924,24.45,-3.0008483,2.0
147,28.5,76.9,0.0,2021-08,0.82,80.0,29.58995,24.03,-2.6948218,3.0
148,28.5,76.9,0.0,2021-08,0.6,28.0,29.58995,24.03,-2.6948218,3.0
149,28.5,76.9,0.0,2021-08,8.1,100.0,29.58995,24.03,-2.6948218,3.0
150,28.5,76.9,0.0,2021-08,7.93,40.0,29.58995,24.03,-2.6948218,3.0
151,28.5,76.9,0.0,2021-08,0.9,15.0,29.58995,24.03,-2.6948218,3.0
152,28.5,76.9,0.0,2021-08,12.36,100.0,29.58995,24.03,-2.6948218,3.0
159,28.5,77.2,0.0,2021-08,51.7,150.0,29.137745,24.3,-3.0162032,2.0
160,28.5,77.2,0.0,2021-08,43.05,94.5,29.137745,24.3,-3.0162032,2.0
161,28.5,77.2,0.0,2021-08,27.68,104.0,29.137745,24.3,-3.0162032,2.0
162,28.5,77.2,0.0,2021-08,2.63,12.0,29.137745,24.3,-3.0162032,2.0
176,28.8,77.2,0.0,2021-11,7.2,85.0,18.71657,11.92,-1.356802,2.0
177,28.8,77.2,0.0,2021-11,9.8,101.0,18.71657,11.92,-1.356802,2.0
178,28.5,76.9,0.0,2021-11,0.85,80.0,19.487726,11.31,-1.222697,3.0
179,28.5,76.9,0.0,2021-11,0.88,28.0,19.487726,11.31,-1.222697,3.0
180,28.5,76.9,0.0,2021-11,2.4,15.0,19.487726,11.31,-1.222697,3.0
181,28.5,76.9,0.0,2021-11,11.31,100.0,19.487726,11.31,-1.222697,3.0
189,28.5,77.2,0.0,2021-11,47.84,150.0,19.060375,11.77,-1.4374967,2.0
190,28.5,77.2,0.0,2021-11,42.3,94.5,19.060375,11.77,-1.4374967,2.0
191,28.5,77.2,0.0,2021-11,26.72,104.0,19.060375,11.77,-1.4374967,2.0
203,28.8,77.2,0.0,2022-01,7.89,200.0,12.690835,9.36,-0.96066153,2.0
204,28.8,77.2,0.0,2022-01,6.54,65.0,12.690835,9.36,-0.96066153,2.0
205,28.8,77.2,0.0,2022-01,7.98,85.0,12.690835,9.36,-0.96066153,2.0
206,28.8,77.2,0.0,2022-01,9.5,101.0,12.690835,9.36,-0.96066153,2.0
207,28.5,76.9,0.0,2022-01,1.45,28.0,12.840097,9.18,-0.9325011,3.0
208,28.5,76.9,0.0,2022-01,7.38,100.0,12.840097,9.18,-0.9325011,3.0
209,28.5,76.9,0.0,2022-01,7.42,40.0,12.840097,9.18,-0.9325011,3.0
210,28.5,76.9,0.0,2022-01,1.85,15.0,12.840097,9.18,-0.9325011,3.0
211,28.5,76.9,0.0,2022-01,11.06,100.0,12.840097,9.18,-0.9325011,3.0
221,28.5,77.2,0.0,2022-01,47.56,150.0,12.772998,9.24,-0.9811848,2.0
222,28.5,77.2,0.0,2022-01,41.1,94.5,12.772998,9.24,-0.9811848,2.0
223,28.5,77.2,0.0,2022-01,25.49,104.0,12.772998,9.24,-0.9811848,2.0
224,28.5,77.2,0.0,2022-01,2.9,12.0,12.772998,9.24,-0.9811848,2.0
239,28.8,77.2,0.0,2022-05,8.41,200.0,31.749407,18.52,-1.154292,2.0
240,28.8,77.2,0.0,2022-05,7.05,65.0,31.749407,18.52,-1.154292,2.0
241,28.8,77.2,0.0,2022-05,8.08,85.0,31.749407,18.52,-1.154292,2.0
