Unnamed: 0,latitude,longitude,tp_mm,month,dataValue,wellDepth,tmean_C,d2m_C,evap_mm,pressure_hPa
0,28.8,77.0,0.0,2020-01,1.71,100.0,12.806938,8.89,-0.978733,992.20184
1,28.8,77.0,0.0,2020-01,2.8,8.6,12.806938,8.89,-0.978733,992.20184
2,28.8,77.0,0.0,2020-01,2.36,50.0,12.806938,8.89,-0.978733,992.20184
3,28.8,77.0,0.0,2020-01,23.65,47.0,12.806938,8.89,-0.978733,992.20184
4,28.8,77.1,0.0,2020-01,12.24,80.0,12.8308115,8.96,-0.9945518,992.1147
5,28.8,77.1,0.0,2020-01,21.3,45.0,12.8308115,8.96,-0.9945518,992.1147
6,28.8,77.2,0.0,2020-01,9.54,200.0,12.864816,8.99,-0.9824401,991.7824
7,28.8,77.2,0.0,2020-01,7.94,65.0,12.864816,8.99,-0.9824401,991.7824
8,28.8,77.2,0.0,2020-01,9.49,101.0,12.864816,8.99,-0.9824401,991.7824
9,28.5,76.9,0.0,2020-01,1.08,80.0,12.995922,8.79,-0.9522843,992.88043
10,28.5,76.9,0.0,2020-01,2.14,28.0,12.995922,8.79,-0.9522843,992.88043
11,28.5,76.9,0.0,2020-01,9.78,100.0,12.995922,8.79,-0.9522843,992.88043
12,28.5,76.9,0.0,2020-01,9.53,40.0,12.995922,8.79,-0.9522843,992.88043
13,28.5,76.9,0.0,2020-01,3.56,80.0,12.995922,8.79,-0.9522843,992.88043
14,28.5,76.9,0.0,2020-01,1.7,15.0,12.995922,8.79,-0.9522843,992.88043
15,28.5,76.9,0.0,2020-01,14.17,100.0,12.995922,8.79,-0.9522843,992.88043
16,28.5,76.9,0.0,2020-01,14.05,59.0,12.995922,8.79,-0.9522843,992.88043
17,28.5,77.0,0.0,2020-01,13.57,75.0,12.941975,8.84,-0.97491777,991.4105
18,28.5,77.0,0.0,2020-01,21.67,125.0,12.941975,8.84,-0.97491777,991.4105
19,28.5,77.1,0.0,2020-01,19.91,55.0,12.966299,8.87,-0.99341387,990.259
20,28.5,77.1,0.0,2020-01,22.65,100.0,12.966299,8.87,-0.99341387,990.259
21,28.5,77.1,0.0,2020-01,46.42,65.0,12.966299,8.87,-0.99341387,990.259
22,28.5,77.1,0.0,2020-01,31.8,43.0,12.966299,8.87,-0.99341387,990.259
23,28.5,77.2,0.0,2020-01,52.12,150.0,13.014212,8.94,-1.0206679,991.3581
24,28.5,77.2,0.0,2020-01,49.27,94.5,13.014212,8.94,-1.0206679,991.3581
25,28.5,77.2,0.0,2020-01,31.12,104.0,13.014212,8.94,-1.0206679,991.3581
26,28.5,77.2,0.0,2020-01,3.41,12.0,13.014212,8.94,-1.0206679,991.3581
27,28.5,77.3,0.0,2020-01,7.59,75.0,13.047307,9.05,-0.99800766,992.787
28,28.5,77.3,0.0,2020-01,10.72,45.0,13.047307,9.05,-0.99800766,992.787
29,28.4,77.1,0.0,2020-01,47.78,100.0,12.916069,8.75,-1.0145743,988.1199
30,28.4,77.1,0.0,2020-01,63.13,82.0,12.916069,8.75,-1.0145743,988.1199
31,28.4,77.1,0.0,2020-01,61.99,90.0,12.916069,8.75,-1.0145743,988.1199
32,28.4,77.2,0.0,2020-01,22.53,35.0,13.034721,8.92,-0.9954295,990.5685
33,28.4,77.2,0.0,2020-01,54.07,86.5,13.034721,8.92,-0.9954295,990.5685
34,28.8,77.1,0.0,2020-05,8.69,,30.38642,15.76,-1.3138397,980.05945
35,28.8,77.1,0.0,2020-05,22.35,,30.38642,15.76,-1.3138397,980.05945
36,28.8,77.0,0.0,2020-08,0.66,100.0,28.928104,25.29,-2.2035124,975.4853
37,28.8,77.0,0.0,2020-08,3.35,8.6,28.928104,25.29,-2.2035124,975.4853
38,28.8,77.0,0.0,2020-08,0.41,50.0,28.928104,25.29,-2.2035124,975.4853
39,28.8,77.0,0.0,2020-08,24.99,47.0,28.928104,25.29,-2.2035124,975.4853
40,28.8,77.1,0.0,2020-08,9.01,,28.836103,25.31,-2.23472,975.4564
41,28.8,77.1,0.0,2020-08,9.09,,28.836103,25.31,-2.23472,975.4564
42,28.8,77.1,0.0,2020-08,13.02,80.0,28.836103,25.31,-2.23472,975.4564
