Unnamed: 0.1,Unnamed: 0_x,latitude,longitude,tp_mm,month,dataValue,tmean_C,d2m_C,evap_mm,pressure_hPa,Unnamed: 0_y,wellDepth
0,0,28.8,77.0,0.0,2020-01,1.71,12.806938,8.89,-0.978733,992.20184,1183,8.6
0,0,28.8,77.0,0.0,2020-01,1.71,12.806938,8.89,-0.978733,992.20184,1192,50.0
0,0,28.8,77.0,0.0,2020-01,1.71,12.806938,8.89,-0.978733,992.20184,1226,47.0
1,1,28.8,77.0,0.0,2020-01,2.8,12.806938,8.89,-0.978733,992.20184,1183,8.6
1,1,28.8,77.0,0.0,2020-01,2.8,12.806938,8.89,-0.978733,992.20184,1192,50.0
1,1,28.8,77.0,0.0,2020-01,2.8,12.806938,8.89,-0.978733,992.20184,1226,47.0
2,2,28.8,77.0,0.0,2020-01,2.36,12.806938,8.89,-0.978733,992.20184,1183,8.6
2,2,28.8,77.0,0.0,2020-01,2.36,12.806938,8.89,-0.978733,992.20184,1192,50.0
2,2,28.8,77.0,0.0,2020-01,2.36,12.806938,8.89,-0.978733,992.20184,1226,47.0
3,3,28.8,77.0,0.0,2020-01,23.65,12.806938,8.89,-0.978733,992.20184,1183,8.6
3,3,28.8,77.0,0.0,2020-01,23.65,12.806938,8.89,-0.978733,992.20184,1192,50.0
3,3,28.8,77.0,0.0,2020-01,23.65,12.806938,8.89,-0.978733,992.20184,1226,47.0
4,4,28.8,77.1,0.0,2020-01,12.24,12.8308115,8.96,-0.9945518,992.1147,1110,200.0
4,4,28.8,77.1,0.0,2020-01,12.24,12.8308115,8.96,-0.9945518,992.1147,1122,65.0
4,4,28.8,77.1,0.0,2020-01,12.24,12.8308115,8.96,-0.9945518,992.1147,1135,70.0
4,4,28.8,77.1,0.0,2020-01,12.24,12.8308115,8.96,-0.9945518,992.1147,1215,45.0
4,4,28.8,77.1,0.0,2020-01,12.24,12.8308115,8.96,-0.9945518,992.1147,1254,101.0
5,5,28.8,77.1,0.0,2020-01,21.3,12.8308115,8.96,-0.9945518,992.1147,1110,200.0
5,5,28.8,77.1,0.0,2020-01,21.3,12.8308115,8.96,-0.9945518,992.1147,1122,65.0
5,5,28.8,77.1,0.0,2020-01,21.3,12.8308115,8.96,-0.9945518,992.1147,1135,70.0
5,5,28.8,77.1,0.0,2020-01,21.3,12.8308115,8.96,-0.9945518,992.1147,1215,45.0
5,5,28.8,77.1,0.0,2020-01,21.3,12.8308115,8.96,-0.9945518,992.1147,1254,101.0
9,9,28.5,76.9,0.0,2020-01,1.08,12.995922,8.79,-0.9522843,992.88043,109,28.0
9,9,28.5,76.9,0.0,2020-01,1.08,12.995922,8.79,-0.9522843,992.88043,119,100.0
9,9,28.5,76.9,0.0,2020-01,1.08,12.995922,8.79,-0.9522843,992.88043,132,40.0
9,9,28.5,76.9,0.0,2020-01,1.08,12.995922,8.79,-0.9522843,992.88043,162,80.0
9,9,28.5,76.9,0.0,2020-01,1.08,12.995922,8.79,-0.9522843,992.88043,180,15.0
9,9,28.5,76.9,0.0,2020-01,1.08,12.995922,8.79,-0.9522843,992.88043,197,100.0
9,9,28.5,76.9,0.0,2020-01,1.08,12.995922,8.79,-0.9522843,992.88043,280,59.0
10,10,28.5,76.9,0.0,2020-01,2.14,12.995922,8.79,-0.9522843,992.88043,109,28.0
10,10,28.5,76.9,0.0,2020-01,2.14,12.995922,8.79,-0.9522843,992.88043,119,100.0
10,10,28.5,76.9,0.0,2020-01,2.14,12.995922,8.79,-0.9522843,992.88043,132,40.0
10,10,28.5,76.9,0.0,2020-01,2.14,12.995922,8.79,-0.9522843,992.88043,162,80.0
10,10,28.5,76.9,0.0,2020-01,2.14,12.995922,8.79,-0.9522843,992.88043,180,15.0
10,10,28.5,76.9,0.0,2020-01,2.14,12.995922,8.79,-0.9522843,992.88043,197,100.0
10,10,28.5,76.9,0.0,2020-01,2.14,12.995922,8.79,-0.9522843,992.88043,280,59.0
11,11,28.5,76.9,0.0,2020-01,9.78,12.995922,8.79,-0.9522843,992.88043,109,28.0
11,11,28.5,76.9,0.0,2020-01,9.78,12.995922,8.79,-0.9522843,992.88043,119,100.0
11,11,28.5,76.9,0.0,2020-01,9.78,12.995922,8.79,-0.9522843,992.88043,132,40.0
11,11,28.5,76.9,0.0,2020-01,9.78,12.995922,8.79,-0.9522843,992.88043,162,80.0
11,11,28.5,76.9,0.0,2020-01,9.78,12.995922,8.79,-0.9522843,992.88043,180,15.0
11,11,28.5,76.9,0.0,2020-01,9.78,12.995922,8.79,-0.9522843,992.88043,197,100.0
11,11,28.5,76.9,0.0,2020-01,9.78,12.995922,8.79,-0.9522843,992.88043,280,59.0
12,12,28.5,76.9,0.0,2020-01,9.53,12.995922,8.79,-0.9522843,992.88043,109,28.0
12,12,28.5,76.9,0.0,2020-01,9.53,12.995922,8.79,-0.9522843,992.88043,119,100.0
12,12,28.5,76.9,0.0,2020-01,9.53,12.995922,8.79,-0.9522843,992.88043,132,40.0
12,12,28.5,76.9,0.0,2020-01,9.53,12.995922,8.79,-0.9522843,992.88043,162,80.0
12,12,28.5,76.9,0.0,2020-01,9.53,12.995922,8.79,-0.9522843,992.88043,180,15.0
12,12,28.5,76.9,0.0,2020-01,9.53,12.995922,8.79,-0.9522843,992.88043,197,100.0
12,12,28.5,76.9,0.0,2020-01,9.53,12.995922,8.79,-0.9522843,992.88043,280,59.0
13,13,28.5,76.9,0.0,2020-01,3.56,12.995922,8.79,-0.9522843,992.88043,109,28.0
13,13,28.5,76.9,0.0,2020-01,3.56,12.995922,8.79,-0.9522843,992.88043,119,100.0
13,13,28.5,76.9,0.0,2020-01,3.56,12.995922,8.79,-0.9522843,992.88043,132,40.0
13,13,28.5,76.9,0.0,2020-01,3.56,12.995922,8.79,-0.9522843,992.88043,162,80.0
13,13,28.5,76.9,0.0,2020-01,3.56,12.995922,8.79,-0.9522843,992.88043,180,15.0
13,13,28.5,76.9,0.0,2020-01,3.56,12.995922,8.79,-0.9522843,992.88043,197,100.0
13,13,28.5,76.9,0.0,2020-01,3.56,12.995922,8.79,-0.9522843,992.88043,280,59.0
14,14,28.5,76.9,0.0,2020-01,1.7,12.995922,8.79,-0.9522843,992.88043,109,28.0
14,14,28.5,76.9,0.0,2020-01,1.7,12.995922,8.79,-0.9522843,992.88043,119,100.0
14,14,28.5,76.9,0.0,2020-01,1.7,12.995922,8.79,-0.9522843,992.88043,132,40.0
