,latitude,longitude,month,wellDepth
0,28.4,77.1,2021-01,65.0
1,28.4,77.1,2021-08,65.0
2,28.4,77.1,2021-11,65.0
3,28.4,77.1,2022-01,65.0
4,28.4,77.1,2022-05,65.0
5,28.4,77.1,2022-08,65.0
6,28.4,77.1,2022-11,65.0
7,28.4,77.2,2020-01,35.0
8,28.4,77.2,2020-08,35.0
9,28.4,77.2,2020-11,35.0
10,28.4,77.2,2021-01,35.0
11,28.4,77.2,2021-08,35.0
12,28.4,77.2,2021-11,35.0
13,28.4,77.2,2022-01,35.0
14,28.4,77.2,2022-05,35.0
15,28.4,77.2,2022-08,35.0
16,28.4,77.2,2022-11,35.0
17,28.4,77.2,2022-05,100.0
18,28.4,77.2,2020-01,86.5
19,28.4,77.2,2020-08,86.5
20,28.4,77.2,2020-11,86.5
21,28.4,77.2,2021-01,86.5
22,28.4,77.2,2021-08,86.5
23,28.4,77.2,2021-11,86.5
24,28.4,77.2,2022-01,86.5
25,28.4,77.2,2022-05,86.5
26,28.4,77.2,2022-08,86.5
27,28.4,77.2,2022-11,86.5
28,28.4,77.2,2023-05,24.38
29,28.4,77.2,2023-06,24.68
30,28.4,77.2,2023-07,25.6
31,28.4,77.2,2023-08,26.62
32,28.4,77.2,2023-09,27.53
33,28.4,77.2,2023-10,28.43
34,28.4,77.2,2023-11,29.43
35,28.4,77.2,2023-12,30.43
36,28.4,77.1,2020-01,100.0
37,28.4,77.1,2020-08,100.0
38,28.4,77.1,2020-11,100.0
39,28.4,77.1,2021-01,100.0
40,28.4,77.1,2021-08,100.0
41,28.4,77.1,2022-01,100.0
42,28.4,77.1,2022-05,100.0
43,28.4,77.1,2022-08,100.0
44,28.4,77.1,2022-11,100.0
45,28.4,77.1,2020-01,82.0
46,28.4,77.1,2020-08,82.0
47,28.4,77.1,2020-11,82.0
48,28.4,77.1,2021-01,82.0
49,28.4,77.1,2021-08,82.0
50,28.4,77.1,2021-11,82.0
51,28.4,77.1,2022-01,82.0
52,28.4,77.1,2022-05,82.0
53,28.4,77.1,2022-08,82.0
54,28.4,77.1,2022-11,82.0
55,28.4,77.1,2022-12,46.31
56,28.4,77.1,2023-01,23.79
57,28.4,77.1,2023-02,24.61
58,28.4,77.1,2023-03,25.73
59,28.4,77.1,2023-04,26.64
60,28.4,77.1,2023-05,27.64
61,28.4,77.1,2023-06,28.56
62,28.4,77.1,2023-07,29.58
63,28.4,77.1,2023-08,30.55
64,28.4,77.1,2023-09,31.45
65,28.4,77.1,2023-10,32.46
66,28.4,77.1,2023-11,33.37
67,28.4,77.1,2023-12,34.38
68,28.4,77.1,2020-01,90.0
69,28.4,77.1,2020-08,90.0
70,28.4,77.1,2020-11,90.0
71,28.4,77.1,2021-01,90.0
72,28.4,77.1,2021-08,90.0
73,28.4,77.1,2022-01,90.0
74,28.4,77.1,2022-05,90.0
75,28.4,77.1,2022-08,90.0
76,28.4,77.1,2022-11,90.0
77,28.4,77.2,2020-01,150.0
78,28.4,77.2,2020-08,150.0
79,28.4,77.2,2020-11,150.0
80,28.4,77.2,2021-08,150.0
81,28.4,77.2,2021-11,150.0
82,28.4,77.2,2022-01,150.0
83,28.4,77.2,2022-05,150.0
84,28.4,77.2,2022-08,150.0
85,28.4,77.2,2022-11,150.0
86,28.5,77.1,2020-01,55.0
87,28.5,77.1,2020-08,55.0
88,28.5,77.1,2020-11,55.0
89,28.5,77.1,2021-01,55.0
90,28.5,77.1,2021-08,55.0
91,28.5,77.1,2021-11,55.0
92,28.5,77.1,2022-01,55.0
93,28.5,77.1,2022-05,55.0
94,28.5,77.1,2022-08,55.0
95,28.5,77.1,2022-11,55.0
96,28.5,77.3,2020-01,75.0
97,28.5,77.3,2020-08,75.0
98,28.5,77.3,2020-11,75.0
99,28.5,77.3,2021-01,75.0
100,28.5,77.3,2021-08,75.0
101,28.5,77.3,2021-11,75.0
102,28.5,77.3,2022-01,75.0
103,28.5,77.3,2022-05,75.0
104,28.5,77.3,2022-08,75.0
105,28.5,77.3,2022-11,75.0
106,28.5,76.8,2020-01,80.0
107,28.5,76.8,2021-08,80.0
108,28.5,76.8,2021-11,80.0
109,28.5,76.9,2020-01,28.0
110,28.5,76.9,2020-08,28.0
111,28.5,76.9,2020-11,28.0
112,28.5,76.9,2021-01,28.0
113,28.5,76.9,2021-08,28.0
114,28.5,76.9,2021-11,28.0
115,28.5,76.9,2022-01,28.0
116,28.5,76.9,2022-05,28.0
117,28.5,76.9,2022-08,28.0
118,28.5,76.9,2022-11,28.0
119,28.5,76.9,2020-01,100.0
120,28.5,76.9,2020-08,100.0
121,28.5,76.9,2020-11,100.0
122,28.5,76.9,2021-01,100.0
123,28.5,76.9,2021-08,100.0
124,28.5,76.9,2022-01,100.0
125,28.5,76.9,2022-05,100.0
126,28.5,76.9,2022-08,100.0
127,28.5,76.9,2022-11,100.0
128,28.5,76.9,2023-09,50.0
129,28.5,76.9,2023-10,50.0
130,28.5,76.9,2023-11,50.0
131,28.5,76.9,2023-12,50.0
132,28.5,76.9,2020-01,40.0
133,28.5,76.9,2020-08,40.0
134,28.5,76.9,2020-11,40.0
135,28.5,76.9,2021-01,40.0
136,28.5,76.9,2021-08,40.0
137,28.5,76.9,2022-01,40.0
138,28.5,76.9,2022-05,40.0
139,28.5,76.9,2022-08,40.0
140,28.5,76.9,2022-11,40.0
141,28.5,76.9,2023-09,40.0
142,28.5,76.9,2023-10,40.0
143,28.5,76.9,2023-11,40.0
144,28.5,76.9,2023-12,40.0
145,28.5,77.2,2023-05,31.75
146,28.5,77.2,2023-06,31.85
147,28.5,77.2,2023-07,32.86
148,28.5,77.2,2023-08,33.84
149,28.5,77.2,2023-09,34.74
150,28.5,77.2,2023-10,35.71
151,28.5,77.2,2023-11,36.67
152,28.5,77.2,2023-12,37.72
153,28.5,77.2,2020-01,94.5
154,28.5,77.2,2020-08,94.5
155,28.5,77.2,2021-01,94.5
156,28.5,77.2,2021-08,94.5
157,28.5,77.2,2021-11,94.5
158,28.5,77.2,2022-01,94.5
159,28.5,77.2,2022-05,94.5
160,28.5,77.2,2022-11,94.5
161,28.5,77.3,2022-05,75.0
162,28.5,76.9,2020-01,80.0
163,28.5,76.9,2020-08,80.0
164,28.5,76.9,2020-11,80.0
165,28.5,76.9,2021-01,80.0
166,28.5,76.9,2023-09,38.0
167,28.5,76.9,2023-10,38.0
168,28.5,76.9,2023-11,38.0
169,28.5,76.9,2023-12,38.0
170,28.5,77.1,2020-01,100.0
171,28.5,77.1,2020-08,100.0
172,28.5,77.1,2020-11,100.0
173,28.5,77.1,2021-01,100.0
174,28.5,77.1,2021-08,100.0
175,28.5,77.1,2021-11,100.0
176,28.5,77.1,2022-01,100.0
177,28.5,77.1,2022-05,100.0
178,28.5,77.1,2022-08,100.0
179,28.5,77.1,2022-11,100.0
180,28.5,76.9,2020-01,15.0
181,28.5,76.9,2020-08,15.0
182,28.5,76.9,2020-11,15.0
183,28.5,76.9,2021-01,15.0
184,28.5,76.9,2021-08,15.0
185,28.5,76.9,2021-11,15.0
186,28.5,76.9,2022-01,15.0
187,28.5,76.9,2022-05,15.0
188,28.5,76.9,2022-08,15.0
189,28.5,76.9,2022-11,15.0
190,28.5,77.1,2020-11,20.0
191,28.5,77.1,2021-01,20.0
192,28.5,77.1,2021-11,20.0
193,28.5,77.1,2022-01,20.0
194,28.5,77.1,2022-05,20.0
195,28.5,77.1,2022-08,20.0
196,28.5,77.1,2022-11,20.0
197,28.5,76.9,2020-01,100.0
198,28.5,76.9,2020-08,100.0
199,28.5,76.9,2020-11,100.0
200,28.5,76.9,2021-01,100.0
201,28.5,76.9,2021-08,100.0
202,28.5,76.9,2021-11,100.0
203,28.5,76.9,2022-01,100.0
204,28.5,76.9,2022-05,100.0
205,28.5,76.9,2022-08,100.0
206,28.5,76.9,2022-11,100.0
207,28.5,76.9,2022-12,52.77
208,28.5,76.9,2023-01,30.79
209,28.5,76.9,2023-02,31.61
210,28.5,76.9,2023-03,32.72
211,28.5,76.9,2023-04,33.64
212,28.5,76.9,2023-05,34.65
213,28.5,76.9,2023-06,35.56
214,28.5,76.9,2023-07,36.57
215,28.5,76.9,2023-08,37.55
216,28.5,76.9,2023-09,38.59
217,28.5,76.9,2023-10,39.37
218,28.5,76.9,2023-11,40.39
219,28.5,76.9,2023-12,41.4
220,28.5,77.2,2020-01,104.0
221,28.5,77.2,2020-08,104.0
222,28.5,77.2,2020-11,104.0
223,28.5,77.2,2021-01,104.0
224,28.5,77.2,2021-08,104.0
225,28.5,77.2,2021-11,104.0
226,28.5,77.2,2022-01,104.0
227,28.5,77.2,2022-05,104.0
228,28.5,77.2,2022-08,104.0
229,28.5,77.2,2022-11,104.0
230,28.5,77.0,2020-01,75.0
231,28.5,77.0,2020-08,75.0
232,28.5,77.0,2021-01,75.0
