latitude,longitude,soil_type,month
28.8,76.7,2.0,2020-01
28.8,76.9,2.0,2020-01
28.8,77.2,2.0,2020-01
28.8,77.4,2.0,2020-01
28.5,76.7,3.0,2020-01
28.5,76.9,3.0,2020-01
28.5,77.2,2.0,2020-01
28.5,77.4,2.0,2020-01
28.3,76.7,3.0,2020-01
28.3,76.9,3.0,2020-01
28.3,77.2,2.0,2020-01
28.3,77.4,2.0,2020-01
28.8,76.7,2.0,2020-02
28.8,76.9,2.0,2020-02
28.8,77.2,2.0,2020-02
28.8,77.4,2.0,2020-02
28.5,76.7,3.0,2020-02
28.5,76.9,3.0,2020-02
28.5,77.2,2.0,2020-02
28.5,77.4,2.0,2020-02
28.3,76.7,3.0,2020-02
28.3,76.9,3.0,2020-02
28.3,77.2,2.0,2020-02
28.3,77.4,2.0,2020-02
28.8,76.7,2.0,2020-03
28.8,76.9,2.0,2020-03
28.8,77.2,2.0,2020-03
28.8,77.4,2.0,2020-03
28.5,76.7,3.0,2020-03
28.5,76.9,3.0,2020-03
28.5,77.2,2.0,2020-03
28.5,77.4,2.0,2020-03
28.3,76.7,3.0,2020-03
28.3,76.9,3.0,2020-03
28.3,77.2,2.0,2020-03
28.3,77.4,2.0,2020-03
28.8,76.7,2.0,2020-04
28.8,76.9,2.0,2020-04
28.8,77.2,2.0,2020-04
28.8,77.4,2.0,2020-04
28.5,76.7,3.0,2020-04
28.5,76.9,3.0,2020-04
28.5,77.2,2.0,2020-04
28.5,77.4,2.0,2020-04
28.3,76.7,3.0,2020-04
28.3,76.9,3.0,2020-04
28.3,77.2,2.0,2020-04
28.3,77.4,2.0,2020-04
28.8,76.7,2.0,2020-05
28.8,76.9,2.0,2020-05
28.8,77.2,2.0,2020-05
28.8,77.4,2.0,2020-05
28.5,76.7,3.0,2020-05
28.5,76.9,3.0,2020-05
28.5,77.2,2.0,2020-05
28.5,77.4,2.0,2020-05
28.3,76.7,3.0,2020-05
28.3,76.9,3.0,2020-05
28.3,77.2,2.0,2020-05
