latitude,longitude,number,tmean_C,month
29.0,76.7,0,12.522066,2020-01
29.0,76.8,0,12.516584,2020-01
29.0,76.9,0,12.527762,2020-01
29.0,77.0,0,12.583915,2020-01
29.0,77.1,0,12.662901,2020-01
29.0,77.2,0,12.741709,2020-01
29.0,77.3,0,12.767251,2020-01
29.0,77.4,0,12.816153,2020-01
29.0,77.5,0,12.873647,2020-01
28.9,76.7,0,12.637503,2020-01
28.9,76.8,0,12.623175,2020-01
28.9,76.9,0,12.625366,2020-01
28.9,77.0,0,12.67137,2020-01
28.9,77.1,0,12.731155,2020-01
28.9,77.2,0,12.766776,2020-01
28.9,77.3,0,12.844961,2020-01
28.9,77.4,0,12.884922,2020-01
28.9,77.5,0,12.9169855,2020-01
28.8,76.7,0,12.757753,2020-01
28.8,76.8,0,12.723088,2020-01
28.8,76.9,0,12.718452,2020-01
28.8,77.0,0,12.757554,2020-01
28.8,77.1,0,12.806938,2020-01
28.8,77.2,0,12.8308115,2020-01
28.8,77.3,0,12.864816,2020-01
28.8,77.4,0,12.892303,2020-01
28.8,77.5,0,12.957847,2020-01
28.7,76.7,0,12.809054,2020-01
28.7,76.8,0,12.797506,2020-01
28.7,76.9,0,12.828651,2020-01
28.7,77.0,0,12.870825,2020-01
28.7,77.1,0,12.881391,2020-01
28.7,77.2,0,12.885596,2020-01
28.7,77.3,0,12.950756,2020-01
28.7,77.4,0,12.980619,2020-01
28.7,77.5,0,12.9990225,2020-01
28.6,76.7,0,12.884904,2020-01
28.6,76.8,0,12.912562,2020-01
28.6,76.9,0,12.972857,2020-01
28.6,77.0,0,12.995922,2020-01
28.6,77.1,0,12.941975,2020-01
28.6,77.2,0,12.966299,2020-01
28.6,77.3,0,13.014212,2020-01
28.6,77.4,0,13.047307,2020-01
28.6,77.5,0,13.053571,2020-01
28.5,76.7,0,12.971956,2020-01
28.5,76.8,0,13.025105,2020-01
28.5,76.9,0,13.068395,2020-01
28.5,77.0,0,13.045309,2020-01
28.5,77.1,0,12.940347,2020-01
28.5,77.2,0,12.916069,2020-01
28.5,77.3,0,13.034721,2020-01
28.5,77.4,0,13.104816,2020-01
28.5,77.5,0,13.108046,2020-01
28.4,76.7,0,13.042734,2020-01
28.4,76.8,0,13.053411,2020-01
28.4,76.9,0,13.047378,2020-01
28.4,77.0,0,13.025484,2020-01
28.4,77.1,0,12.986941,2020-01
28.4,77.2,0,12.987797,2020-01
28.4,77.3,0,13.063795,2020-01
28.4,77.4,0,13.126678,2020-01
28.4,77.5,0,13.145528,2020-01
28.3,76.7,0,13.0719595,2020-01
28.3,76.8,0,13.05099,2020-01
28.3,76.9,0,13.020992,2020-01
28.3,77.0,0,13.038954,2020-01
28.3,77.1,0,13.089461,2020-01
28.3,77.2,0,13.126781,2020-01
28.3,77.3,0,13.136303,2020-01
28.3,77.4,0,13.140157,2020-01
28.3,77.5,0,13.148916,2020-01
29.0,76.7,0,15.786739,2020-02
29.0,76.8,0,15.727974,2020-02
29.0,76.9,0,15.678986,2020-02
29.0,77.0,0,15.683569,2020-02
29.0,77.1,0,15.707351,2020-02
29.0,77.2,0,15.751942,2020-02
29.0,77.3,0,15.741806,2020-02
29.0,77.4,0,15.757282,2020-02
29.0,77.5,0,15.790738,2020-02
28.9,76.7,0,15.930742,2020-02
28.9,76.8,0,15.842544,2020-02
28.9,76.9,0,15.78961,2020-02
28.9,77.0,0,15.783936,2020-02
28.9,77.1,0,15.777001,2020-02
28.9,77.2,0,15.751394,2020-02
28.9,77.3,0,15.821536,2020-02
28.9,77.4,0,15.834038,2020-02
28.9,77.5,0,15.8319025,2020-02
28.8,76.7,0,16.078476,2020-02
28.8,76.8,0,15.957635,2020-02
28.8,76.9,0,15.885521,2020-02
28.8,77.0,0,15.86126,2020-02
28.8,77.1,0,15.855769,2020-02
28.8,77.2,0,15.828282,2020-02
28.8,77.3,0,15.829079,2020-02
28.8,77.4,0,15.814293,2020-02
28.8,77.5,0,15.864014,2020-02
28.7,76.7,0,16.149975,2020-02
28.7,76.8,0,16.056202,2020-02
28.7,76.9,0,16.017817,2020-02
28.7,77.0,0,15.998625,2020-02
